metric,snr_db,feature,score,source_file
pearson,-10,M,0.6320744367040994,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-10,P,0.7223972705789818,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-10,SLTA,0.6525852435043504,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-10,Std,0.6514734590525317,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-10,S,0.06649140926600293,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-10,K,0.0902143682493505,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-8,M,0.6957054118826089,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-8,P,0.7568831233514025,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-8,SLTA,0.7068008002700941,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-8,Std,0.7146386649032798,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-8,S,0.06977530793807735,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-8,K,0.11214402310511297,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-6,M,0.7333754003411169,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-6,P,0.7618423260897665,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-6,SLTA,0.7363937967725986,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-6,Std,0.7535193225875286,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-6,S,0.06046926920621245,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-6,K,0.1409275915032286,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-4,M,0.7636476045757682,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-4,P,0.7636148708753264,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-4,SLTA,0.7553234066997453,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-4,Std,0.7788014062251343,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-4,S,0.05941818463917298,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-4,K,0.1684045335705551,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-2,M,0.7784892677043281,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-2,P,0.761965024345068,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-2,SLTA,0.7637227219396254,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-2,Std,0.7967089643058725,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-2,S,0.053391711789932426,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,-2,K,0.19557618399781884,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,0,M,0.7928660360002542,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,0,P,0.7618763870060604,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,0,SLTA,0.7715702702008955,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,0,Std,0.8104216259473095,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,0,S,0.05081625701166985,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,0,K,0.21690323721332433,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,2,M,0.7987702971126706,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,2,P,0.7608056663345559,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,2,SLTA,0.7740591434337486,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,2,Std,0.8181119274968764,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,2,S,0.048180880105136784,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,2,K,0.24969083675606885,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
pearson,4,M,0.8047877541038355,Fig_3\results_feature_relevance_global_snr_100hz\pearson_by_snr.csv
