condition,frequency_hz,snr_db,repeat,true_arrival,predicted_arrival,success,cluster_num,stop_reason,error_ms,abs_error_ms,hit_le2,hit_le5,hit_le10,target_snr_db,snr_definition,noise_source_id,noise_start_sample
WGN,100,-10.0,0,288,241.0,True,3,unique_valid_peak,-47.0,47.0,False,False,False,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,0,288,292.0,True,4,unique_valid_peak,4.0,4.0,False,True,True,-10.0,full_trace_mean_square,62,204
WGN,100,-10.0,1,288,292.0,True,2,unique_valid_peak,4.0,4.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,1,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,203,3815
WGN,100,-10.0,2,288,290.0,True,3,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,2,288,291.0,True,2,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,235,3216
WGN,100,-10.0,3,288,291.0,True,2,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,3,288,291.0,True,3,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,430,371
WGN,100,-10.0,4,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,4,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,25,457
WGN,100,-10.0,5,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,5,288,290.0,True,3,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,311,4990
WGN,100,-10.0,6,288,289.0,True,2,unique_valid_peak,1.0,1.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,6,288,295.0,True,6,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,165,3395
WGN,100,-10.0,7,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,7,288,295.0,True,7,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,462,5435
WGN,100,-10.0,8,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,8,288,,False,10,multiple_valid_peaks_at_cmax,,,False,False,False,-10.0,full_trace_mean_square,429,318
WGN,100,-10.0,9,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,9,288,295.0,True,5,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,471,5380
WGN,100,-10.0,10,288,290.0,True,2,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,10,288,295.0,True,4,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,173,4504
WGN,100,-10.0,11,288,288.0,True,2,unique_valid_peak,0.0,0.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,11,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,243,3238
WGN,100,-10.0,12,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,12,288,294.0,True,4,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,812,1014
WGN,100,-10.0,13,288,293.0,True,3,unique_valid_peak,5.0,5.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
Recorded background noise,100,-10.0,13,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,86,4907
WGN,100,-10.0,14,288,285.0,True,3,unique_valid_peak,-3.0,3.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
