condition,snr_db,n,reliable_count,reliable_rate_pct,le2_pct,le5_pct,le10_pct,mae_ms,median_ae_ms,rmse_ms,signed_error_ms
Recorded background noise,-10.0,1000.0,893.0,89.3,51.6,66.0,77.8,16.19484882418813,1.0,49.68077265233087,-9.460246360582307
Recorded background noise,-8.0,1000.0,933.0,93.30000000000001,57.699999999999996,74.3,87.5,8.381564844587352,1.0,32.10029165824635,-3.0632368703108255
Recorded background noise,-6.0,1000.0,963.0,96.3,63.0,79.60000000000001,92.0,6.655244029075805,1.0,27.460856688237552,-2.15472481827622
Recorded background noise,-4.0,1000.0,982.0,98.2,69.19999999999999,84.89999999999999,96.2,3.3340122199592668,1.0,10.945337241582626,0.6924643584521385
Recorded background noise,-2.0,1000.0,990.0,99.0,71.89999999999999,86.0,97.6,2.8555555555555556,1.0,8.062320391860528,0.794949494949495
Recorded background noise,0.0,1000.0,997.0,99.7,74.0,87.4,99.3,2.2397191574724173,1.0,4.3295768508159505,0.753259779338014
Recorded background noise,2.0,1000.0,1000.0,100.0,76.6,87.8,99.6,2.155,1.0,3.9692568573978684,0.797
Recorded background noise,4.0,1000.0,1000.0,100.0,78.0,86.6,99.5,2.239,1.0,4.821929074550972,0.743
Recorded background noise,6.0,1000.0,1000.0,100.0,78.60000000000001,87.3,99.9,2.027,1.0,3.0972568508278417,0.985
WGN,-10.0,1000.0,949.0,94.89999999999999,58.699999999999996,77.3,89.8,5.3203371970495255,1.0,16.902653160902464,-1.6111696522655428
WGN,-8.0,1000.0,977.0,97.7,67.10000000000001,85.5,95.7,2.9907881269191403,1.0,8.174904805395435,-0.012282497441146366
WGN,-6.0,1000.0,980.0,98.0,70.0,87.4,97.1,2.311224489795918,1.0,4.587360630146752,0.5642857142857143
WGN,-4.0,1000.0,986.0,98.6,71.39999999999999,87.0,98.1,2.193711967545639,1.0,3.606816849944928,0.7068965517241379
WGN,-2.0,1000.0,994.0,99.4,73.8,87.6,99.4,2.0543259557344062,1.0,2.756371802402294,0.89738430583501
WGN,0.0,1000.0,999.0,99.9,76.2,86.7,99.9,2.029029029029029,1.0,2.7764561420466753,0.953953953953954
WGN,2.0,1000.0,1000.0,100.0,77.8,86.5,100.0,2.021,1.0,2.7980350247986534,1.013
WGN,4.0,1000.0,1000.0,100.0,78.60000000000001,86.1,100.0,2.017,1.0,2.811227489905433,1.045
WGN,6.0,1000.0,1000.0,100.0,78.9,85.8,100.0,2.014,1.0,2.822764602300376,1.07
