frequency_hz,snr_db,repeat_id,seed,reference_arrival_sample,reference_arrival_ms,common_reference_arrival_sample,aic_pick_sample,aic_signed_error_samples,aic_error_samples,aic_signed_error_ms,aic_error_ms,aic_success,noise_type,noise_source_id,noise_start_sample
100,-10.0,0,130883009,213,213.0,213,396.0,183.0,183.0,183.0,183.0,True,WGN,-1,-1
100,-10.0,1,2848563235,213,213.0,213,416.0,203.0,203.0,203.0,203.0,True,WGN,-1,-1
100,-10.0,2,3136500927,213,213.0,213,5.0,-208.0,208.0,-208.00000000000003,208.00000000000003,True,WGN,-1,-1
100,-10.0,3,1826782195,213,213.0,213,229.0,16.0,16.0,16.0,16.0,True,WGN,-1,-1
100,-10.0,4,664763852,213,213.0,213,280.0,67.0,67.0,67.0,67.0,True,WGN,-1,-1
100,-10.0,5,2415822091,213,213.0,213,447.0,234.0,234.0,234.0,234.0,True,WGN,-1,-1
100,-10.0,6,1456147836,213,213.0,213,272.0,59.0,59.0,59.00000000000001,59.00000000000001,True,WGN,-1,-1
100,-10.0,7,3470723315,213,213.0,213,38.0,-175.0,175.0,-175.00000000000003,175.00000000000003,True,WGN,-1,-1
100,-10.0,8,615595807,213,213.0,213,109.0,-104.0,104.0,-104.00000000000001,104.00000000000001,True,WGN,-1,-1
100,-10.0,9,3126019678,213,213.0,213,241.0,28.0,28.0,28.0,28.0,True,WGN,-1,-1
100,-10.0,10,4003367977,213,213.0,213,447.0,234.0,234.0,234.0,234.0,True,WGN,-1,-1
100,-10.0,11,2366640082,213,213.0,213,128.0,-85.0,85.0,-85.0,85.0,True,WGN,-1,-1
100,-10.0,12,2038635433,213,213.0,213,430.0,217.0,217.0,217.0,217.0,True,WGN,-1,-1
100,-10.0,13,3249556868,213,213.0,213,233.0,20.0,20.0,20.0,20.0,True,WGN,-1,-1
100,-10.0,14,3295871950,213,213.0,213,230.0,17.0,17.0,17.0,17.0,True,WGN,-1,-1
100,-10.0,15,1297074382,213,213.0,213,203.0,-10.0,10.0,-10.0,10.0,True,WGN,-1,-1
100,-10.0,16,3215563385,213,213.0,213,16.0,-197.0,197.0,-197.0,197.0,True,WGN,-1,-1
100,-10.0,17,1307110349,213,213.0,213,2.0,-211.0,211.0,-211.0,211.0,True,WGN,-1,-1
100,-10.0,18,610128799,213,213.0,213,27.0,-186.0,186.0,-186.0,186.0,True,WGN,-1,-1
100,-10.0,19,264955535,213,213.0,213,415.0,202.0,202.0,202.0,202.0,True,WGN,-1,-1
100,-10.0,20,1585617531,213,213.0,213,215.0,2.0,2.0,2.0,2.0,True,WGN,-1,-1
100,-10.0,21,3523706142,213,213.0,213,112.0,-101.0,101.0,-101.0,101.0,True,WGN,-1,-1
100,-10.0,22,3021360988,213,213.0,213,2.0,-211.0,211.0,-211.0,211.0,True,WGN,-1,-1
100,-10.0,23,2605615079,213,213.0,213,2.0,-211.0,211.0,-211.0,211.0,True,WGN,-1,-1
100,-10.0,24,1117262687,213,213.0,213,258.0,45.0,45.0,45.0,45.0,True,WGN,-1,-1
100,-10.0,25,1982082693,213,213.0,213,431.0,218.0,218.0,218.0,218.0,True,WGN,-1,-1
100,-10.0,26,725104754,213,213.0,213,25.0,-188.0,188.0,-188.0,188.0,True,WGN,-1,-1
100,-10.0,27,2017918315,213,213.0,213,2.0,-211.0,211.0,-211.0,211.0,True,WGN,-1,-1
100,-10.0,28,2512306136,213,213.0,213,231.0,18.0,18.0,18.000000000000004,18.000000000000004,True,WGN,-1,-1
100,-10.0,29,3734087972,213,213.0,213,425.0,212.0,212.0,212.0,212.0,True,WGN,-1,-1
100,-10.0,30,2031677799,213,213.0,213,112.0,-101.0,101.0,-101.0,101.0,True,WGN,-1,-1
100,-10.0,31,1529033994,213,213.0,213,268.0,55.0,55.0,55.0,55.0,True,WGN,-1,-1
100,-10.0,32,1054904213,213,213.0,213,96.0,-117.0,117.0,-117.0,117.0,True,WGN,-1,-1
100,-10.0,33,3770052635,213,213.0,213,445.0,232.0,232.0,232.0,232.0,True,WGN,-1,-1
100,-10.0,34,3304252083,213,213.0,213,227.0,14.0,14.0,14.0,14.0,True,WGN,-1,-1
100,-10.0,35,3000241809,213,213.0,213,26.0,-187.0,187.0,-187.0,187.0,True,WGN,-1,-1
100,-10.0,36,439964667,213,213.0,213,237.0,24.0,24.0,24.0,24.0,True,WGN,-1,-1
100,-10.0,37,8738977,213,213.0,213,18.0,-195.0,195.0,-195.0,195.0,True,WGN,-1,-1
100,-10.0,38,395446981,213,213.0,213,446.0,233.0,233.0,233.0,233.0,True,WGN,-1,-1
100,-10.0,39,1178773752,213,213.0,213,2.0,-211.0,211.0,-211.0,211.0,True,WGN,-1,-1
100,-10.0,40,3152229494,213,213.0,213,440.0,227.0,227.0,227.0,227.0,True,WGN,-1,-1
100,-10.0,41,3821989113,213,213.0,213,232.0,19.0,19.0,19.0,19.0,True,WGN,-1,-1
100,-10.0,42,2918812666,213,213.0,213,8.0,-205.0,205.0,-205.00000000000003,205.00000000000003,True,WGN,-1,-1
100,-10.0,43,3414978100,213,213.0,213,224.0,11.0,11.0,11.0,11.0,True,WGN,-1,-1
100,-10.0,44,210888858,213,213.0,213,6.0,-207.0,207.0,-207.00000000000003,207.00000000000003,True,WGN,-1,-1
100,-10.0,45,774945823,213,213.0,213,61.0,-152.0,152.0,-152.0,152.0,True,WGN,-1,-1
100,-10.0,46,2812292110,213,213.0,213,79.0,-134.0,134.0,-134.0,134.0,True,WGN,-1,-1
