experiment_id,frequency_hz,snr_db,repeat_id,seed,waveform,noise_type,noise_source_id,sample_rate_hz,sample_interval_ms,n_samples,reference_arrival_sample,reference_arrival_ms,reference_method,source_file
100_-10.0_0,100,-10.0,0,130883009,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_1,100,-10.0,1,2848563235,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_2,100,-10.0,2,3136500927,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_3,100,-10.0,3,1826782195,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_4,100,-10.0,4,664763852,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_5,100,-10.0,5,2415822091,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_6,100,-10.0,6,1456147836,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_7,100,-10.0,7,3470723315,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_8,100,-10.0,8,615595807,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_9,100,-10.0,9,3126019678,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_10,100,-10.0,10,4003367977,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_11,100,-10.0,11,2366640082,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_12,100,-10.0,12,2038635433,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
100_-10.0_13,100,-10.0,13,3249556868,ricker,WGN,-1,1000,1,1000,213,213.0,AIC_prepeak_clean,Table_1\results_aic\raw_aic_results.csv
