condition,frequency_hz,snr_db,repeat,true_arrival,predicted_arrival,success,cluster_num,stop_reason,error_ms,abs_error_ms,hit_le2,hit_le5,hit_le10,target_snr_db,snr_definition,noise_source_id,noise_start_sample
ricker,100,-10.0,0,288,241.0,True,3,unique_valid_peak,-47.0,47.0,False,False,False,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,0,293,302.0,True,7,unique_valid_peak,9.0,9.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,1,288,292.0,True,2,unique_valid_peak,4.0,4.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,1,293,295.0,True,2,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,2,288,290.0,True,3,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,2,293,295.0,True,3,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,3,288,291.0,True,2,unique_valid_peak,3.0,3.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,3,293,291.0,True,2,unique_valid_peak,-2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,4,288,295.0,True,3,unique_valid_peak,7.0,7.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,4,293,295.0,True,3,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,5,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,5,293,295.0,True,3,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,6,288,289.0,True,2,unique_valid_peak,1.0,1.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,6,293,290.0,True,2,unique_valid_peak,-3.0,3.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,7,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,7,293,295.0,True,3,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,8,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,8,293,295.0,True,3,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,9,288,294.0,True,2,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,9,293,295.0,True,2,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,10,288,290.0,True,2,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,10,293,295.0,True,2,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,11,288,288.0,True,2,unique_valid_peak,0.0,0.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,11,293,291.0,True,2,unique_valid_peak,-2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,12,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,12,293,294.0,True,2,unique_valid_peak,1.0,1.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,13,288,293.0,True,3,unique_valid_peak,5.0,5.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,13,293,292.0,True,3,unique_valid_peak,-1.0,1.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,14,288,285.0,True,3,unique_valid_peak,-3.0,3.0,False,True,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,14,293,295.0,True,4,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,15,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,15,293,294.0,True,2,unique_valid_peak,1.0,1.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,16,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,16,293,273.0,True,3,unique_valid_peak,-20.0,20.0,False,False,False,-10.0,full_trace_mean_square,-1,-1
ricker,100,-10.0,17,288,294.0,True,3,unique_valid_peak,6.0,6.0,False,False,True,-10.0,full_trace_mean_square,-1,-1
asymmetric,100,-10.0,17,293,295.0,True,3,unique_valid_peak,2.0,2.0,True,True,True,-10.0,full_trace_mean_square,-1,-1
