condition,snr_db,n,reliable_count,reliable_rate_pct,le2_pct,le5_pct,le10_pct,mae_ms,median_ae_ms,rmse_ms,signed_error_ms
asymmetric,-10.0,1000.0,945.0,94.5,66.60000000000001,88.5,89.4,5.016931216931217,2.0,17.494156242742964,-4.0285714285714285
asymmetric,-8.0,1000.0,992.0,99.2,75.4,95.7,96.2,3.3639112903225805,2.0,10.264004987678872,-2.724798387096774
asymmetric,-6.0,1000.0,995.0,99.5,77.10000000000001,98.0,98.0,2.4542713567839196,2.0,7.120922530714838,-1.8452261306532662
asymmetric,-4.0,1000.0,1000.0,100.0,79.10000000000001,99.7,99.7,1.877,2.0,3.4130631403476848,-1.217
asymmetric,-2.0,1000.0,1000.0,100.0,79.9,100.0,100.0,1.758,2.0,2.0199009876724157,-1.052
asymmetric,0.0,1000.0,1000.0,100.0,79.9,100.0,100.0,1.757,2.0,2.0181674856165928,-1.045
asymmetric,2.0,1000.0,1000.0,100.0,80.0,100.0,100.0,1.746,2.0,2.009477544039744,-1.054
asymmetric,4.0,1000.0,1000.0,100.0,80.0,100.0,100.0,1.735,2.0,2.00124960961895,-1.065
asymmetric,6.0,1000.0,1000.0,100.0,80.0,100.0,100.0,1.708,2.0,1.9809088823063012,-1.092
ricker,-10.0,1000.0,949.0,94.89999999999999,58.699999999999996,77.3,89.8,5.3203371970495255,1.0,16.902653160902464,-1.6111696522655428
ricker,-8.0,1000.0,977.0,97.7,67.10000000000001,85.5,95.7,2.9907881269191403,1.0,8.174904805395435,-0.012282497441146366
ricker,-6.0,1000.0,980.0,98.0,70.0,87.4,97.1,2.311224489795918,1.0,4.587360630146752,0.5642857142857143
ricker,-4.0,1000.0,986.0,98.6,71.39999999999999,87.0,98.1,2.193711967545639,1.0,3.606816849944928,0.7068965517241379
ricker,-2.0,1000.0,994.0,99.4,73.8,87.6,99.4,2.0543259557344062,1.0,2.756371802402294,0.89738430583501
ricker,0.0,1000.0,999.0,99.9,76.2,86.7,99.9,2.029029029029029,1.0,2.7764561420466753,0.953953953953954
ricker,2.0,1000.0,1000.0,100.0,77.8,86.5,100.0,2.021,1.0,2.7980350247986534,1.013
ricker,4.0,1000.0,1000.0,100.0,78.60000000000001,86.1,100.0,2.017,1.0,2.811227489905433,1.045
ricker,6.0,1000.0,1000.0,100.0,78.9,85.8,100.0,2.014,1.0,2.822764602300376,1.07
