file_id,true_index_0,true_arrival_1,pick_index_0,pick_arrival_1,signed_error_ms,abs_error_ms,le2,le5,le10,success,source_file
1,493.0,494.0,491.0,492.0,-2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
2,332.0,333.0,332.0,333.0,0.0,0.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
3,74.0,75.0,872.0,873.0,798.0,798.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
4,496.0,497.0,496.0,497.0,0.0,0.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
5,901.0,902.0,901.0,902.0,0.0,0.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
6,868.0,869.0,868.0,869.0,0.0,0.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
7,956.0,957.0,957.0,958.0,1.0,1.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
8,217.0,218.0,315.0,316.0,98.0,98.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
9,614.0,615.0,614.0,615.0,0.0,0.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
10,34.0,35.0,987.0,988.0,953.0,953.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
11,242.0,243.0,249.0,250.0,7.0,7.0,False,False,True,True,Fig_9/real_baseline_trace_results.csv
12,688.0,689.0,678.0,679.0,-10.0,10.0,False,False,True,True,Fig_9/real_baseline_trace_results.csv
13,35.0,36.0,992.0,993.0,957.0,957.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
14,631.0,632.0,632.0,633.0,1.0,1.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
15,933.0,934.0,933.0,934.0,0.0,0.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
16,488.0,489.0,488.0,489.0,0.0,0.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
17,210.0,211.0,223.0,224.0,13.0,13.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
18,824.0,825.0,825.0,826.0,1.0,1.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
19,576.0,577.0,576.0,577.0,0.0,0.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
20,551.0,552.0,550.0,551.0,-1.0,1.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
21,543.0,544.0,543.0,544.0,0.0,0.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
22,488.0,489.0,488.0,489.0,0.0,0.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
23,824.0,825.0,823.0,824.0,-1.0,1.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
24,56.0,57.0,64.0,65.0,8.0,8.0,False,False,True,True,Fig_9/real_baseline_trace_results.csv
25,216.0,217.0,311.0,312.0,95.0,95.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
26,512.0,513.0,500.0,501.0,-12.0,12.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
27,945.0,946.0,940.0,941.0,-5.0,5.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
28,352.0,353.0,497.0,498.0,145.0,145.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
29,46.0,47.0,186.0,187.0,140.0,140.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
30,46.0,47.0,186.0,187.0,140.0,140.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
31,180.0,181.0,323.0,324.0,143.0,143.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
32,800.0,801.0,786.0,787.0,-14.0,14.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
33,335.0,336.0,477.0,478.0,142.0,142.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
34,433.0,434.0,421.0,422.0,-12.0,12.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
35,939.0,940.0,927.0,928.0,-12.0,12.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
