file_id,true_index_0,true_arrival_1,predicted_index_0,predicted_arrival_1,signed_error_ms,abs_error_ms,le2,le5,le10,cluster_num,peak_index_0,stable_count,valid_peak_count,kept_scale_count,success,status,stop_reason,message,unnamed
1,493,494,495,496,2,2,TRUE,TRUE,TRUE,4,499,1,1,99,TRUE,Reliable,unique_valid_peak,,226
2,332,333,336,337,4,4,FALSE,TRUE,TRUE,4,340,1,1,97,TRUE,Reliable,unique_valid_peak,,282
3,74,75,79,80,5,5,FALSE,TRUE,TRUE,4,82,1,1,92,TRUE,Reliable,unique_valid_peak,,144
4,496,497,499,500,3,3,FALSE,TRUE,TRUE,4,508,1,1,93,TRUE,Reliable,unique_valid_peak,,47
5,901,902,900,901,-1,1,TRUE,TRUE,TRUE,2,915,1,1,96,TRUE,Reliable,unique_valid_peak,,24
6,868,869,868,869,0,0,TRUE,TRUE,TRUE,3,872,1,1,98,TRUE,Reliable,unique_valid_peak,,17
7,956,957,957,958,1,1,TRUE,TRUE,TRUE,2,966,1,1,100,TRUE,Reliable,unique_valid_peak,,13
8,217,218,217,218,0,0,TRUE,TRUE,TRUE,3,220,1,1,99,TRUE,Reliable,unique_valid_peak,,18
9,614,615,612,613,-2,2,TRUE,TRUE,TRUE,2,622,1,1,100,TRUE,Reliable,unique_valid_peak,,41
10,34,35,34,35,0,0,TRUE,TRUE,TRUE,10,41,1,1,100,TRUE,Reliable,unique_valid_peak,,812
11,242,243,240,241,-2,2,TRUE,TRUE,TRUE,2,250,1,1,94,TRUE,Reliable,unique_valid_peak,,
12,688,689,686,687,-2,2,TRUE,TRUE,TRUE,2,696,1,1,100,TRUE,Reliable,unique_valid_peak,,
13,35,36,35,36,0,0,TRUE,TRUE,TRUE,9,38,2,1,93,TRUE,Reliable,unique_valid_peak,,
14,631,632,630,631,-1,1,TRUE,TRUE,TRUE,2,632,1,1,100,TRUE,Reliable,unique_valid_peak,,
15,933,934,931,932,-2,2,TRUE,TRUE,TRUE,2,933,1,1,97,TRUE,Reliable,unique_valid_peak,,
16,488,489,487,488,-1,1,TRUE,TRUE,TRUE,2,489,1,1,99,TRUE,Reliable,unique_valid_peak,,
17,210,211,208,209,-2,2,TRUE,TRUE,TRUE,2,210,1,1,100,TRUE,Reliable,unique_valid_peak,,
18,824,825,823,824,-1,1,TRUE,TRUE,TRUE,2,825,1,1,100,TRUE,Reliable,unique_valid_peak,,
19,576,577,576,577,0,0,TRUE,TRUE,TRUE,2,578,1,1,91,TRUE,Reliable,unique_valid_peak,,
20,551,552,549,550,-2,2,TRUE,TRUE,TRUE,2,559,1,1,96,TRUE,Reliable,unique_valid_peak,,
21,543,544,541,542,-2,2,TRUE,TRUE,TRUE,3,543,1,1,89,TRUE,Reliable,unique_valid_peak,,
22,488,489,486,487,-2,2,TRUE,TRUE,TRUE,2,496,1,1,94,TRUE,Reliable,unique_valid_peak,,
23,824,825,822,823,-2,2,TRUE,TRUE,TRUE,2,832,1,1,93,TRUE,Reliable,unique_valid_peak,,
24,56,57,54,55,-2,2,TRUE,TRUE,TRUE,3,56,1,1,93,TRUE,Reliable,unique_valid_peak,,
25,216,217,214,215,-2,2,TRUE,TRUE,TRUE,3,216,1,1,91,TRUE,Reliable,unique_valid_peak,,
26,512,513,511,512,-1,1,TRUE,TRUE,TRUE,3,513,1,1,83,TRUE,Reliable,unique_valid_peak,,
27,945,946,942,943,-3,3,FALSE,TRUE,TRUE,4,950,1,1,78,TRUE,Reliable,unique_valid_peak,,
28,352,353,351,352,-1,1,TRUE,TRUE,TRUE,4,353,1,1,99,TRUE,Reliable,unique_valid_peak,,
29,46,47,44,45,-2,2,TRUE,TRUE,TRUE,4,47,1,1,100,TRUE,Reliable,unique_valid_peak,,
30,46,47,43,44,-3,3,FALSE,TRUE,TRUE,4,46,1,1,100,TRUE,Reliable,unique_valid_peak,,
31,180,181,180,181,0,0,TRUE,TRUE,TRUE,4,187,1,1,99,TRUE,Reliable,unique_valid_peak,,
32,800,801,798,799,-2,2,TRUE,TRUE,TRUE,4,805,1,1,100,TRUE,Reliable,unique_valid_peak,,
33,335,336,334,335,-1,1,TRUE,TRUE,TRUE,4,343,1,1,99,TRUE,Reliable,unique_valid_peak,,
34,433,434,430,431,-3,3,FALSE,TRUE,TRUE,3,440,1,1,100,TRUE,Reliable,unique_valid_peak,,
35,939,940,936,937,-3,3,FALSE,TRUE,TRUE,2,946,1,1,100,TRUE,Reliable,unique_valid_peak,,
36,266,267,265,266,-1,1,TRUE,TRUE,TRUE,5,273,3,1,85,TRUE,Reliable,unique_valid_peak,,
37,891,892,888,889,-3,3,FALSE,TRUE,TRUE,2,898,1,1,99,TRUE,Reliable,unique_valid_peak,,
38,91,92,90,91,-1,1,TRUE,TRUE,TRUE,4,97,2,1,96,TRUE,Reliable,unique_valid_peak,,
39,941,942,938,939,-3,3,FALSE,TRUE,TRUE,4,940,1,1,65,TRUE,Reliable,unique_valid_peak,,
40,282,283,281,282,-1,1,TRUE,TRUE,TRUE,4,288,2,1,98,TRUE,Reliable,unique_valid_peak,,
41,252,253,252,253,0,0,TRUE,TRUE,TRUE,4,259,2,1,95,TRUE,Reliable,unique_valid_peak,,
42,344,345,344,345,0,0,TRUE,TRUE,TRUE,4,351,2,1,96,TRUE,Reliable,unique_valid_peak,,
43,286,287,285,286,-1,1,TRUE,TRUE,TRUE,3,286,1,1,100,TRUE,Reliable,unique_valid_peak,,
44,41,42,40,41,-1,1,TRUE,TRUE,TRUE,4,42,1,1,95,TRUE,Reliable,unique_valid_peak,,
45,383,384,382,383,-1,1,TRUE,TRUE,TRUE,3,390,2,1,93,TRUE,Reliable,unique_valid_peak,,
46,498,499,496,497,-2,2,TRUE,TRUE,TRUE,3,498,1,1,94,TRUE,Reliable,unique_valid_peak,,
47,140,141,138,139,-2,2,TRUE,TRUE,TRUE,3,147,1,1,90,TRUE,Reliable,unique_valid_peak,,
48,343,344,341,342,-2,2,TRUE,TRUE,TRUE,3,350,1,1,87,TRUE,Reliable,unique_valid_peak,,
49,263,264,263,264,0,0,TRUE,TRUE,TRUE,3,265,1,1,82,TRUE,Reliable,unique_valid_peak,,
50,549,550,547,548,-2,2,TRUE,TRUE,TRUE,4,556,2,1,96,TRUE,Reliable,unique_valid_peak,,
51,43,44,42,43,-1,1,TRUE,TRUE,TRUE,4,44,1,1,91,TRUE,Reliable,unique_valid_peak,,
52,954,955,952,953,-2,2,TRUE,TRUE,TRUE,2,962,1,1,83,TRUE,Reliable,unique_valid_peak,,
53,549,550,546,547,-3,3,FALSE,TRUE,TRUE,3,548,1,1,93,TRUE,Reliable,unique_valid_peak,,
54,116,117,116,117,0,0,TRUE,TRUE,TRUE,2,128,1,1,95,TRUE,Reliable,unique_valid_peak,,
55,580,581,584,585,4,4,FALSE,TRUE,TRUE,2,597,1,1,99,TRUE,Reliable,unique_valid_peak,,
56,450,451,448,449,-2,2,TRUE,TRUE,TRUE,2,453,1,1,99,TRUE,Reliable,unique_valid_peak,,
57,27,28,24,25,-3,3,FALSE,TRUE,TRUE,2,38,1,1,100,TRUE,Reliable,unique_valid_peak,,
58,157,158,154,155,-3,3,FALSE,TRUE,TRUE,2,158,1,1,99,TRUE,Reliable,unique_valid_peak,,
59,468,469,465,466,-3,3,FALSE,TRUE,TRUE,2,469,1,1,84,TRUE,Reliable,unique_valid_peak,,
60,377,378,374,375,-3,3,FALSE,TRUE,TRUE,2,378,1,1,99,TRUE,Reliable,unique_valid_peak,,
61,302,303,300,301,-2,2,TRUE,TRUE,TRUE,3,304,1,1,80,TRUE,Reliable,unique_valid_peak,,
62,199,200,200,201,1,1,TRUE,TRUE,TRUE,2,214,1,1,98,TRUE,Reliable,unique_valid_peak,,
63,490,491,487,488,-3,3,FALSE,TRUE,TRUE,2,499,1,1,98,TRUE,Reliable,unique_valid_peak,,
64,304,305,304,305,0,0,TRUE,TRUE,TRUE,2,308,1,1,96,TRUE,Reliable,unique_valid_peak,,
65,600,601,605,606,5,5,FALSE,TRUE,TRUE,2,609,1,1,96,TRUE,Reliable,unique_valid_peak,,
66,672,673,672,673,0,0,TRUE,TRUE,TRUE,2,687,1,1,96,TRUE,Reliable,unique_valid_peak,,
67,301,302,297,298,-4,4,FALSE,TRUE,TRUE,2,301,1,1,92,TRUE,Reliable,unique_valid_peak,,
68,271,272,271,272,0,0,TRUE,TRUE,TRUE,2,274,1,1,85,TRUE,Reliable,unique_valid_peak,,
69,355,356,356,357,1,1,TRUE,TRUE,TRUE,2,359,1,1,82,TRUE,Reliable,unique_valid_peak,,
70,806,807,806,807,0,0,TRUE,TRUE,TRUE,3,815,1,1,100,TRUE,Reliable,unique_valid_peak,,
71,710,711,715,716,5,5,FALSE,TRUE,TRUE,3,724,2,1,98,TRUE,Reliable,unique_valid_peak,,
72,838,839,838,839,0,0,TRUE,TRUE,TRUE,3,847,1,1,100,TRUE,Reliable,unique_valid_peak,,
73,370,371,371,372,1,1,TRUE,TRUE,TRUE,3,379,1,1,95,TRUE,Reliable,unique_valid_peak,,
74,762,763,762,763,0,0,TRUE,TRUE,TRUE,3,771,1,1,88,TRUE,Reliable,unique_valid_peak,,
75,866,867,863,864,-3,3,FALSE,TRUE,TRUE,3,876,1,1,97,TRUE,Reliable,unique_valid_peak,,
76,608,609,606,607,-2,2,TRUE,TRUE,TRUE,2,622,1,1,95,TRUE,Reliable,unique_valid_peak,,
77,571,572,580,581,9,9,FALSE,FALSE,TRUE,9,584,2,1,81,TRUE,Reliable,unique_valid_peak,,
78,674,675,,,,,FALSE,FALSE,FALSE,10,695,8,2,62,FALSE,Unreliable,multiple_valid_peaks_at_cmax,,
79,727,728,734,735,7,7,FALSE,FALSE,TRUE,4,748,1,1,82,TRUE,Reliable,unique_valid_peak,,
80,135,136,,,,,FALSE,FALSE,FALSE,10,226,1,2,75,FALSE,Unreliable,multiple_valid_peaks_at_cmax,,
81,983,984,982,983,-1,1,TRUE,TRUE,TRUE,3,993,1,1,81,TRUE,Reliable,unique_valid_peak,,
82,119,120,128,129,9,9,FALSE,FALSE,TRUE,2,149,1,1,84,TRUE,Reliable,unique_valid_peak,,
83,548,549,633,634,85,85,FALSE,FALSE,FALSE,6,636,1,1,83,TRUE,Error > 50 ms,unique_valid_peak,,
84,695,696,707,708,12,12,FALSE,FALSE,FALSE,6,707,1,1,86,TRUE,Reliable,unique_valid_peak,,
85,490,491,579,580,89,89,FALSE,FALSE,FALSE,5,582,1,1,82,TRUE,Error > 50 ms,unique_valid_peak,,
86,289,290,298,299,9,9,FALSE,FALSE,TRUE,4,309,1,1,72,TRUE,Reliable,unique_valid_peak,,
87,444,445,542,543,98,98,FALSE,FALSE,FALSE,8,545,1,1,94,TRUE,Error > 50 ms,unique_valid_peak,,
88,273,274,,,,,FALSE,FALSE,FALSE,10,292,7,2,82,FALSE,Unreliable,multiple_valid_peaks_at_cmax,,
89,533,534,,,,,FALSE,FALSE,FALSE,10,551,7,2,78,FALSE,Unreliable,multiple_valid_peaks_at_cmax,,
90,143,144,280,281,137,137,FALSE,FALSE,FALSE,9,280,1,1,71,TRUE,Error > 50 ms,unique_valid_peak,,
91,475,476,510,511,35,35,FALSE,FALSE,FALSE,7,522,3,1,64,TRUE,Reliable,unique_valid_peak,,
92,215,216,,,,,FALSE,FALSE,FALSE,10,314,2,2,88,FALSE,Unreliable,multiple_valid_peaks_at_cmax,,
93,521,522,551,552,30,30,FALSE,FALSE,FALSE,5,561,1,1,75,TRUE,Reliable,unique_valid_peak,,
94,11,12,39,40,28,28,FALSE,FALSE,FALSE,3,65,1,1,83,TRUE,Reliable,unique_valid_peak,,
95,507,508,568,569,61,61,FALSE,FALSE,FALSE,7,569,1,1,85,TRUE,Error > 50 ms,unique_valid_peak,,
96,354,355,,,,,FALSE,FALSE,FALSE,10,380,6,2,81,FALSE,Unreliable,multiple_valid_peaks_at_cmax,,
97,555,556,576,577,21,21,FALSE,FALSE,FALSE,3,594,1,1,88,TRUE,Reliable,unique_valid_peak,,
98,371,372,398,399,27,27,FALSE,FALSE,FALSE,3,401,1,1,80,TRUE,Reliable,unique_valid_peak,,
99,608,609,611,612,3,3,FALSE,TRUE,TRUE,3,613,1,1,91,TRUE,Reliable,unique_valid_peak,,
100,983,984,981,982,-2,2,TRUE,TRUE,TRUE,2,983,1,1,97,TRUE,Reliable,unique_valid_peak,,
101,74,75,72,73,-2,2,TRUE,TRUE,TRUE,3,74,1,1,92,TRUE,Reliable,unique_valid_peak,,
102,685,686,681,682,-4,4,FALSE,TRUE,TRUE,2,691,1,1,100,TRUE,Reliable,unique_valid_peak,,
103,474,475,471,472,-3,3,FALSE,TRUE,TRUE,3,475,1,1,94,TRUE,Reliable,unique_valid_peak,,
104,123,124,120,121,-3,3,FALSE,TRUE,TRUE,3,129,1,1,96,TRUE,Reliable,unique_valid_peak,,
105,941,942,938,939,-3,3,FALSE,TRUE,TRUE,2,947,1,1,92,TRUE,Reliable,unique_valid_peak,,
106,903,904,900,901,-3,3,FALSE,TRUE,TRUE,2,909,1,1,95,TRUE,Reliable,unique_valid_peak,,
107,690,691,687,688,-3,3,FALSE,TRUE,TRUE,2,689,1,1,88,TRUE,Reliable,unique_valid_peak,,
108,475,476,474,475,-1,1,TRUE,TRUE,TRUE,2,476,1,1,88,TRUE,Reliable,unique_valid_peak,,
109,271,272,269,270,-2,2,TRUE,TRUE,TRUE,2,271,1,1,92,TRUE,Reliable,unique_valid_peak,,
110,313,314,310,311,-3,3,FALSE,TRUE,TRUE,3,312,1,1,88,TRUE,Reliable,unique_valid_peak,,
111,301,302,299,300,-2,2,TRUE,TRUE,TRUE,2,309,1,1,88,TRUE,Reliable,unique_valid_peak,,
112,695,696,694,695,-1,1,TRUE,TRUE,TRUE,3,703,1,1,87,TRUE,Reliable,unique_valid_peak,,
113,883,884,882,883,-1,1,TRUE,TRUE,TRUE,3,884,1,1,86,TRUE,Reliable,unique_valid_peak,,
114,23,24,,,,,FALSE,FALSE,FALSE,10,74,4,2,90,FALSE,Unreliable,multiple_valid_peaks_at_cmax,,
115,961,962,961,962,0,0,TRUE,TRUE,TRUE,3,970,1,1,86,TRUE,Reliable,unique_valid_peak,,
116,580,581,,,,,FALSE,FALSE,FALSE,10,603,5,3,73,FALSE,Unreliable,multiple_valid_peaks_at_cmax,,
117,35,36,,,,,FALSE,FALSE,FALSE,10,35,8,2,99,FALSE,Unreliable,multiple_valid_peaks_at_cmax,,
118,279,280,279,280,0,0,TRUE,TRUE,TRUE,8,282,4,1,100,TRUE,Reliable,unique_valid_peak,,
119,2,3,5,6,3,3,FALSE,TRUE,TRUE,9,6,8,1,100,TRUE,Reliable,unique_valid_peak,,
120,139,140,138,139,-1,1,TRUE,TRUE,TRUE,10,139,6,1,100,TRUE,Reliable,unique_valid_peak,,
121,164,165,164,165,0,0,TRUE,TRUE,TRUE,10,169,7,1,99,TRUE,Reliable,unique_valid_peak,,
122,131,132,,,,,FALSE,FALSE,FALSE,10,137,1,2,90,FALSE,Unreliable,multiple_valid_peaks_at_cmax,,
123,123,124,123,124,0,0,TRUE,TRUE,TRUE,10,127,6,1,100,TRUE,Reliable,unique_valid_peak,,
124,20,21,18,19,-2,2,TRUE,TRUE,TRUE,9,25,1,1,93,TRUE,Reliable,unique_valid_peak,,
125,67,68,71,72,4,4,FALSE,TRUE,TRUE,8,77,7,1,100,TRUE,Reliable,unique_valid_peak,,
126,180,181,184,185,4,4,FALSE,TRUE,TRUE,9,188,1,1,97,TRUE,Reliable,unique_valid_peak,,
127,27,28,,,,,FALSE,FALSE,FALSE,10,32,8,2,92,FALSE,Unreliable,multiple_valid_peaks_at_cmax,,
128,58,59,63,64,5,5,FALSE,TRUE,TRUE,10,67,1,1,96,TRUE,Reliable,unique_valid_peak,,
129,58,59,61,62,3,3,FALSE,TRUE,TRUE,9,62,7,1,96,TRUE,Reliable,unique_valid_peak,,
130,198,199,199,200,1,1,TRUE,TRUE,TRUE,9,201,1,1,96,TRUE,Reliable,unique_valid_peak,,
131,49,50,50,51,1,1,TRUE,TRUE,TRUE,9,53,1,1,89,TRUE,Reliable,unique_valid_peak,,
132,192,193,193,194,1,1,TRUE,TRUE,TRUE,8,195,1,1,95,TRUE,Reliable,unique_valid_peak,,
133,73,74,74,75,1,1,TRUE,TRUE,TRUE,10,76,1,1,95,TRUE,Reliable,unique_valid_peak,,
134,231,232,232,233,1,1,TRUE,TRUE,TRUE,9,234,1,1,93,TRUE,Reliable,unique_valid_peak,,
135,91,92,,,,,FALSE,FALSE,FALSE,10,95,7,2,83,FALSE,Unreliable,multiple_valid_peaks_at_cmax,,
136,130,131,,,,,FALSE,FALSE,FALSE,10,138,9,2,95,FALSE,Unreliable,multiple_valid_peaks_at_cmax,,
137,4,5,5,6,1,1,TRUE,TRUE,TRUE,6,7,1,1,95,TRUE,Reliable,unique_valid_peak,,
138,64,65,63,64,-1,1,TRUE,TRUE,TRUE,8,69,1,1,78,TRUE,Reliable,unique_valid_peak,,
139,89,90,104,105,15,15,FALSE,FALSE,FALSE,6,109,2,1,99,TRUE,Reliable,unique_valid_peak,,
140,17,18,16,17,-1,1,TRUE,TRUE,TRUE,7,18,2,1,99,TRUE,Reliable,unique_valid_peak,,
