file_id,true_index_0,true_arrival_1,pick_index_0,pick_arrival_1,signed_error_ms,abs_error_ms,le2,le5,le10,success,source_file
1,493.0,494.0,513.0,514.0,20.0,20.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
2,332.0,333.0,354.0,355.0,22.0,22.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
3,74.0,75.0,74.0,75.0,0.0,0.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
4,496.0,497.0,513.0,514.0,17.0,17.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
5,901.0,902.0,902.0,903.0,1.0,1.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
6,868.0,869.0,866.0,867.0,-2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
7,956.0,957.0,955.0,956.0,-1.0,1.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
8,217.0,218.0,215.0,216.0,-2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
9,614.0,615.0,611.0,612.0,-3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
10,34.0,35.0,31.0,32.0,-3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
11,242.0,243.0,239.0,240.0,-3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
12,688.0,689.0,685.0,686.0,-3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
13,35.0,36.0,32.0,33.0,-3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
14,631.0,632.0,629.0,630.0,-2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
15,933.0,934.0,930.0,931.0,-3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
16,488.0,489.0,486.0,487.0,-2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
17,210.0,211.0,207.0,208.0,-3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
18,824.0,825.0,822.0,823.0,-2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
19,576.0,577.0,575.0,576.0,-1.0,1.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
20,551.0,552.0,547.0,548.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
21,543.0,544.0,538.0,539.0,-5.0,5.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
22,488.0,489.0,484.0,485.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
23,824.0,825.0,820.0,821.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
24,56.0,57.0,67.0,68.0,11.0,11.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
25,216.0,217.0,211.0,212.0,-5.0,5.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
26,512.0,513.0,510.0,511.0,-2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
27,945.0,946.0,96.0,97.0,-849.0,849.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
28,352.0,353.0,348.0,349.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
29,46.0,47.0,41.0,42.0,-5.0,5.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
30,46.0,47.0,41.0,42.0,-5.0,5.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
31,180.0,181.0,177.0,178.0,-3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
32,800.0,801.0,795.0,796.0,-5.0,5.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
33,335.0,336.0,332.0,333.0,-3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
34,433.0,434.0,429.0,430.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
35,939.0,940.0,935.0,936.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
36,266.0,267.0,281.0,282.0,15.0,15.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
37,891.0,892.0,887.0,888.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
38,91.0,92.0,87.0,88.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
39,941.0,942.0,191.0,192.0,-750.0,750.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
40,282.0,283.0,278.0,279.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
41,252.0,253.0,249.0,250.0,-3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
42,344.0,345.0,341.0,342.0,-3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
43,286.0,287.0,282.0,283.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
44,41.0,42.0,37.0,38.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
45,383.0,384.0,379.0,380.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
46,498.0,499.0,494.0,495.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
47,140.0,141.0,136.0,137.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
48,343.0,344.0,339.0,340.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
49,263.0,264.0,260.0,261.0,-3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
50,549.0,550.0,545.0,546.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
51,43.0,44.0,39.0,40.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
52,954.0,955.0,950.0,951.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
53,549.0,550.0,544.0,545.0,-5.0,5.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
54,116.0,117.0,117.0,118.0,1.0,1.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
55,580.0,581.0,586.0,587.0,6.0,6.0,False,False,True,True,Fig_9/real_baseline_trace_results.csv
56,450.0,451.0,450.0,451.0,0.0,0.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
