file_id,true_index_0,true_arrival_1,pick_index_0,pick_arrival_1,signed_error_ms,abs_error_ms,le2,le5,le10,success,source_file
1,493.0,494.0,496.0,497.0,3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
2,332.0,333.0,336.0,337.0,4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
3,74.0,75.0,212.0,213.0,138.0,138.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
4,496.0,497.0,500.0,501.0,4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
5,901.0,902.0,905.0,906.0,4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
6,868.0,869.0,872.0,873.0,4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
7,956.0,957.0,767.0,768.0,-189.0,189.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
8,217.0,218.0,220.0,221.0,3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
9,614.0,615.0,432.0,433.0,-182.0,182.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
10,34.0,35.0,664.0,665.0,630.0,630.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
11,242.0,243.0,244.0,245.0,2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
12,688.0,689.0,690.0,691.0,2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
13,35.0,36.0,993.0,994.0,958.0,958.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
14,631.0,632.0,634.0,635.0,3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
15,933.0,934.0,162.0,163.0,-771.0,771.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
16,488.0,489.0,491.0,492.0,3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
17,210.0,211.0,212.0,213.0,2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
18,824.0,825.0,827.0,828.0,3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
19,576.0,577.0,580.0,581.0,4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
20,551.0,552.0,554.0,555.0,3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
21,543.0,544.0,546.0,547.0,3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
22,488.0,489.0,491.0,492.0,3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
23,824.0,825.0,827.0,828.0,3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
24,56.0,57.0,889.0,890.0,833.0,833.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
25,216.0,217.0,218.0,219.0,2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
26,512.0,513.0,515.0,516.0,3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
27,945.0,946.0,947.0,948.0,2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
28,352.0,353.0,168.0,169.0,-184.0,184.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
29,46.0,47.0,183.0,184.0,137.0,137.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
30,46.0,47.0,183.0,184.0,137.0,137.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
31,180.0,181.0,172.0,173.0,-8.0,8.0,False,False,True,True,Fig_9/real_baseline_trace_results.csv
32,800.0,801.0,617.0,618.0,-183.0,183.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
33,335.0,336.0,154.0,155.0,-181.0,181.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
34,433.0,434.0,249.0,250.0,-184.0,184.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
35,939.0,940.0,753.0,754.0,-186.0,186.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
36,266.0,267.0,269.0,270.0,3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
37,891.0,892.0,196.0,197.0,-695.0,695.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
38,91.0,92.0,230.0,231.0,139.0,139.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
39,941.0,942.0,944.0,945.0,3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
40,282.0,283.0,273.0,274.0,-9.0,9.0,False,False,True,True,Fig_9/real_baseline_trace_results.csv
41,252.0,253.0,248.0,249.0,-4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
42,344.0,345.0,161.0,162.0,-183.0,183.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
43,286.0,287.0,287.0,288.0,1.0,1.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
44,41.0,42.0,180.0,181.0,139.0,139.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
45,383.0,384.0,384.0,385.0,1.0,1.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
46,498.0,499.0,316.0,317.0,-182.0,182.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
47,140.0,141.0,141.0,142.0,1.0,1.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
48,343.0,344.0,161.0,162.0,-182.0,182.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
49,263.0,264.0,265.0,266.0,2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
50,549.0,550.0,369.0,370.0,-180.0,180.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
51,43.0,44.0,184.0,185.0,141.0,141.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
52,954.0,955.0,278.0,279.0,-676.0,676.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
53,549.0,550.0,367.0,368.0,-182.0,182.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
54,116.0,117.0,119.0,120.0,3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
55,580.0,581.0,587.0,588.0,7.0,7.0,False,False,True,True,Fig_9/real_baseline_trace_results.csv
56,450.0,451.0,452.0,453.0,2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
57,27.0,28.0,,,,,False,False,False,False,Fig_9/real_baseline_trace_results.csv
58,157.0,158.0,158.0,159.0,1.0,1.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
59,468.0,469.0,470.0,471.0,2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
60,377.0,378.0,379.0,380.0,2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
61,302.0,303.0,305.0,306.0,3.0,3.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
62,199.0,200.0,204.0,205.0,5.0,5.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
63,490.0,491.0,491.0,492.0,1.0,1.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
64,304.0,305.0,309.0,310.0,5.0,5.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
65,600.0,601.0,610.0,611.0,10.0,10.0,False,False,True,True,Fig_9/real_baseline_trace_results.csv
66,672.0,673.0,677.0,678.0,5.0,5.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
67,301.0,302.0,302.0,303.0,1.0,1.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
68,271.0,272.0,275.0,276.0,4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
69,355.0,356.0,361.0,362.0,6.0,6.0,False,False,True,True,Fig_9/real_baseline_trace_results.csv
70,806.0,807.0,808.0,809.0,2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
71,710.0,711.0,714.0,715.0,4.0,4.0,False,True,True,True,Fig_9/real_baseline_trace_results.csv
72,838.0,839.0,840.0,841.0,2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
73,370.0,371.0,372.0,373.0,2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
74,762.0,763.0,764.0,765.0,2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
75,866.0,867.0,867.0,868.0,1.0,1.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
76,608.0,609.0,610.0,611.0,2.0,2.0,True,True,True,True,Fig_9/real_baseline_trace_results.csv
77,571.0,572.0,596.0,597.0,25.0,25.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
78,674.0,675.0,,,,,False,False,False,False,Fig_9/real_baseline_trace_results.csv
79,727.0,728.0,743.0,744.0,16.0,16.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
80,135.0,136.0,,,,,False,False,False,False,Fig_9/real_baseline_trace_results.csv
81,983.0,984.0,,,,,False,False,False,False,Fig_9/real_baseline_trace_results.csv
82,119.0,120.0,134.0,135.0,15.0,15.0,False,False,False,True,Fig_9/real_baseline_trace_results.csv
