file_id,waveform_file,label_file,n_samples,sample_rate_hz,sample_interval_ms,has_manual_pick,data_source
1,field_waveforms/1.txt,manual_reference_picks.csv#1,1000,1000,1,yes,workspace/Fig_9/pre_data
2,field_waveforms/2.txt,manual_reference_picks.csv#2,1000,1000,1,yes,workspace/Fig_9/pre_data
3,field_waveforms/3.txt,manual_reference_picks.csv#3,1000,1000,1,yes,workspace/Fig_9/pre_data
4,field_waveforms/4.txt,manual_reference_picks.csv#4,1000,1000,1,yes,workspace/Fig_9/pre_data
5,field_waveforms/5.txt,manual_reference_picks.csv#5,1000,1000,1,yes,workspace/Fig_9/pre_data
6,field_waveforms/6.txt,manual_reference_picks.csv#6,1000,1000,1,yes,workspace/Fig_9/pre_data
7,field_waveforms/7.txt,manual_reference_picks.csv#7,1000,1000,1,yes,workspace/Fig_9/pre_data
8,field_waveforms/8.txt,manual_reference_picks.csv#8,1000,1000,1,yes,workspace/Fig_9/pre_data
9,field_waveforms/9.txt,manual_reference_picks.csv#9,1000,1000,1,yes,workspace/Fig_9/pre_data
10,field_waveforms/10.txt,manual_reference_picks.csv#10,1000,1000,1,yes,workspace/Fig_9/pre_data
11,field_waveforms/11.txt,manual_reference_picks.csv#11,1000,1000,1,yes,workspace/Fig_9/pre_data
12,field_waveforms/12.txt,manual_reference_picks.csv#12,1000,1000,1,yes,workspace/Fig_9/pre_data
13,field_waveforms/13.txt,manual_reference_picks.csv#13,1000,1000,1,yes,workspace/Fig_9/pre_data
14,field_waveforms/14.txt,manual_reference_picks.csv#14,1000,1000,1,yes,workspace/Fig_9/pre_data
15,field_waveforms/15.txt,manual_reference_picks.csv#15,1000,1000,1,yes,workspace/Fig_9/pre_data
16,field_waveforms/16.txt,manual_reference_picks.csv#16,1000,1000,1,yes,workspace/Fig_9/pre_data
17,field_waveforms/17.txt,manual_reference_picks.csv#17,1000,1000,1,yes,workspace/Fig_9/pre_data
18,field_waveforms/18.txt,manual_reference_picks.csv#18,1000,1000,1,yes,workspace/Fig_9/pre_data
19,field_waveforms/19.txt,manual_reference_picks.csv#19,1000,1000,1,yes,workspace/Fig_9/pre_data
20,field_waveforms/20.txt,manual_reference_picks.csv#20,1000,1000,1,yes,workspace/Fig_9/pre_data
21,field_waveforms/21.txt,manual_reference_picks.csv#21,1000,1000,1,yes,workspace/Fig_9/pre_data
22,field_waveforms/22.txt,manual_reference_picks.csv#22,1000,1000,1,yes,workspace/Fig_9/pre_data
23,field_waveforms/23.txt,manual_reference_picks.csv#23,1000,1000,1,yes,workspace/Fig_9/pre_data
24,field_waveforms/24.txt,manual_reference_picks.csv#24,1000,1000,1,yes,workspace/Fig_9/pre_data
25,field_waveforms/25.txt,manual_reference_picks.csv#25,1000,1000,1,yes,workspace/Fig_9/pre_data
26,field_waveforms/26.txt,manual_reference_picks.csv#26,1000,1000,1,yes,workspace/Fig_9/pre_data
27,field_waveforms/27.txt,manual_reference_picks.csv#27,1000,1000,1,yes,workspace/Fig_9/pre_data
