file_id,reference_arrival_1based,reference_index_0based,sample_rate_hz,sample_interval_ms,source_file
1,494,493,1000,1,field_waveforms/1.txt
2,333,332,1000,1,field_waveforms/2.txt
3,75,74,1000,1,field_waveforms/3.txt
4,497,496,1000,1,field_waveforms/4.txt
5,902,901,1000,1,field_waveforms/5.txt
6,869,868,1000,1,field_waveforms/6.txt
7,957,956,1000,1,field_waveforms/7.txt
8,218,217,1000,1,field_waveforms/8.txt
9,615,614,1000,1,field_waveforms/9.txt
10,35,34,1000,1,field_waveforms/10.txt
11,243,242,1000,1,field_waveforms/11.txt
12,689,688,1000,1,field_waveforms/12.txt
13,36,35,1000,1,field_waveforms/13.txt
14,632,631,1000,1,field_waveforms/14.txt
15,934,933,1000,1,field_waveforms/15.txt
16,489,488,1000,1,field_waveforms/16.txt
17,211,210,1000,1,field_waveforms/17.txt
18,825,824,1000,1,field_waveforms/18.txt
19,577,576,1000,1,field_waveforms/19.txt
20,552,551,1000,1,field_waveforms/20.txt
21,544,543,1000,1,field_waveforms/21.txt
22,489,488,1000,1,field_waveforms/22.txt
23,825,824,1000,1,field_waveforms/23.txt
24,57,56,1000,1,field_waveforms/24.txt
25,217,216,1000,1,field_waveforms/25.txt
26,513,512,1000,1,field_waveforms/26.txt
27,946,945,1000,1,field_waveforms/27.txt
28,353,352,1000,1,field_waveforms/28.txt
29,47,46,1000,1,field_waveforms/29.txt
30,47,46,1000,1,field_waveforms/30.txt
31,181,180,1000,1,field_waveforms/31.txt
32,801,800,1000,1,field_waveforms/32.txt
33,336,335,1000,1,field_waveforms/33.txt
34,434,433,1000,1,field_waveforms/34.txt
35,940,939,1000,1,field_waveforms/35.txt
36,267,266,1000,1,field_waveforms/36.txt
37,892,891,1000,1,field_waveforms/37.txt
38,92,91,1000,1,field_waveforms/38.txt
39,942,941,1000,1,field_waveforms/39.txt
40,283,282,1000,1,field_waveforms/40.txt
41,253,252,1000,1,field_waveforms/41.txt
42,345,344,1000,1,field_waveforms/42.txt
43,287,286,1000,1,field_waveforms/43.txt
44,42,41,1000,1,field_waveforms/44.txt
45,384,383,1000,1,field_waveforms/45.txt
46,499,498,1000,1,field_waveforms/46.txt
47,141,140,1000,1,field_waveforms/47.txt
48,344,343,1000,1,field_waveforms/48.txt
49,264,263,1000,1,field_waveforms/49.txt
50,550,549,1000,1,field_waveforms/50.txt
51,44,43,1000,1,field_waveforms/51.txt
52,955,954,1000,1,field_waveforms/52.txt
53,550,549,1000,1,field_waveforms/53.txt
54,117,116,1000,1,field_waveforms/54.txt
55,581,580,1000,1,field_waveforms/55.txt
56,451,450,1000,1,field_waveforms/56.txt
57,28,27,1000,1,field_waveforms/57.txt
58,158,157,1000,1,field_waveforms/58.txt
