frequency_hz,snr_db,repeat,feature,window_size,sta_size,lta_size,label_onset,label_end,label_width_samples,retained_scale_count,snr_definition,pearson_abs
100,-10,0,M,21,30,150,213,237,25,109,full_trace_mean_square,0.5868574510097845
100,-10,0,P,21,30,150,213,237,25,109,full_trace_mean_square,0.7529315537059071
100,-10,0,SLTA,21,30,150,213,237,25,109,full_trace_mean_square,0.6132450269193017
100,-10,0,Std,21,30,150,213,237,25,109,full_trace_mean_square,0.6461162438548707
100,-10,0,S,21,30,150,213,237,25,109,full_trace_mean_square,0.06683430974238513
100,-10,0,K,21,30,150,213,237,25,109,full_trace_mean_square,0.20126751166553025
100,-10,1,M,21,30,150,213,237,25,140,full_trace_mean_square,0.7700805188528393
100,-10,1,P,21,30,150,213,237,25,140,full_trace_mean_square,0.904699251562507
100,-10,1,SLTA,21,30,150,213,237,25,140,full_trace_mean_square,0.7815783612701741
100,-10,1,Std,21,30,150,213,237,25,140,full_trace_mean_square,0.822773187022262
100,-10,1,S,21,30,150,213,237,25,140,full_trace_mean_square,0.34928796152762087
100,-10,1,K,21,30,150,213,237,25,140,full_trace_mean_square,0.392189656311057
100,-10,2,M,21,30,150,213,237,25,119,full_trace_mean_square,0.7432505808945926
100,-10,2,P,21,30,150,213,237,25,119,full_trace_mean_square,0.8855975577122861
100,-10,2,SLTA,21,30,150,213,237,25,119,full_trace_mean_square,0.7508603654367981
100,-10,2,Std,21,30,150,213,237,25,119,full_trace_mean_square,0.7960761810022292
100,-10,2,S,21,30,150,213,237,25,119,full_trace_mean_square,0.3516257270780794
100,-10,2,K,21,30,150,213,237,25,119,full_trace_mean_square,0.4136377218656675
100,-10,3,M,21,30,150,213,237,25,113,full_trace_mean_square,0.8224297536943534
100,-10,3,P,21,30,150,213,237,25,113,full_trace_mean_square,0.9119372225383977
100,-10,3,SLTA,21,30,150,213,237,25,113,full_trace_mean_square,0.7941040179050628
100,-10,3,Std,21,30,150,213,237,25,113,full_trace_mean_square,0.8571610725369534
100,-10,3,S,21,30,150,213,237,25,113,full_trace_mean_square,0.41641729726970833
100,-10,3,K,21,30,150,213,237,25,113,full_trace_mean_square,0.37737117890376315
100,-10,4,M,21,30,150,213,237,25,111,full_trace_mean_square,0.7298558926138287
100,-10,4,P,21,30,150,213,237,25,111,full_trace_mean_square,0.8743778903010159
100,-10,4,SLTA,21,30,150,213,237,25,111,full_trace_mean_square,0.7643710875792522
100,-10,4,Std,21,30,150,213,237,25,111,full_trace_mean_square,0.7763226032026614
100,-10,4,S,21,30,150,213,237,25,111,full_trace_mean_square,0.41798384415468837
100,-10,4,K,21,30,150,213,237,25,111,full_trace_mean_square,0.4441453818629734
