waveform,noise_type,frequency_hz,snr_db,repeat,preprocessing,feature,window_size,pearson_r,pc_abs,label_onset,label_end,label_width_samples,label_fraction,retained_scale_count,retained_scale_fraction,true_arrival,reference_method,true_peak_sample
ricker,WGN,50,-5.0,0,CWT-calibrated_HOS-iCWT,P,3,0.510001915642261,0.510001915642261,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,0,CWT-calibrated_HOS-iCWT,P,5,0.5532467199356567,0.5532467199356567,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,0,CWT-calibrated_HOS-iCWT,P,7,0.5968638315252164,0.5968638315252164,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,0,CWT-calibrated_HOS-iCWT,P,9,0.6280487482373895,0.6280487482373895,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,0,CWT-calibrated_HOS-iCWT,P,11,0.6492153513655946,0.6492153513655946,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,0,CWT-calibrated_HOS-iCWT,P,13,0.6687483021136436,0.6687483021136436,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,0,CWT-calibrated_HOS-iCWT,P,15,0.6902798313979824,0.6902798313979824,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,0,CWT-calibrated_HOS-iCWT,P,17,0.7132564980221126,0.7132564980221126,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,0,CWT-calibrated_HOS-iCWT,P,19,0.7366128366218572,0.7366128366218572,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,0,CWT-calibrated_HOS-iCWT,P,21,0.7600156704918014,0.7600156704918014,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,0,CWT-calibrated_HOS-iCWT,P,23,0.7833836565205504,0.7833836565205504,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,0,CWT-calibrated_HOS-iCWT,P,25,0.8064947916755821,0.8064947916755821,276,324,49,0.049,49,0.49,276,AIC_prepeak_clean,300
