frequency_hz,snr_db,repeat_id,feature_set,true_arrival,predicted_arrival,error_ms,abs_error_ms,le2ms,le5ms,le10ms,reliable,cluster_num,valid_peak_count,peak_position,stop_reason,hos_scale_count
100,-10.0,0,M,288,294.0,6.0,6.0,False,False,True,True,3,1,302.0,unique_valid_peak,54
100,-10.0,0,P,288,294.0,6.0,6.0,False,False,True,True,2,1,302.0,unique_valid_peak,54
100,-10.0,0,Std,288,294.0,6.0,6.0,False,False,True,True,3,1,302.0,unique_valid_peak,54
100,-10.0,0,M+P,288,294.0,6.0,6.0,False,False,True,True,3,1,302.0,unique_valid_peak,54
100,-10.0,0,M+Std,288,294.0,6.0,6.0,False,False,True,True,3,1,302.0,unique_valid_peak,54
100,-10.0,0,P+Std,288,294.0,6.0,6.0,False,False,True,True,3,1,302.0,unique_valid_peak,54
100,-10.0,0,M+P+Std,288,294.0,6.0,6.0,False,False,True,True,3,1,302.0,unique_valid_peak,54
100,-10.0,1,M,288,295.0,7.0,7.0,False,False,True,True,4,1,298.0,unique_valid_peak,41
100,-10.0,1,P,288,294.0,6.0,6.0,False,False,True,True,2,1,296.0,unique_valid_peak,41
100,-10.0,1,Std,288,294.0,6.0,6.0,False,False,True,True,4,1,304.0,unique_valid_peak,41
100,-10.0,1,M+P,288,294.0,6.0,6.0,False,False,True,True,3,1,298.0,unique_valid_peak,41
100,-10.0,1,M+Std,288,294.0,6.0,6.0,False,False,True,True,4,1,298.0,unique_valid_peak,41
100,-10.0,1,P+Std,288,294.0,6.0,6.0,False,False,True,True,3,1,298.0,unique_valid_peak,41
100,-10.0,1,M+P+Std,288,294.0,6.0,6.0,False,False,True,True,3,1,298.0,unique_valid_peak,41
100,-10.0,2,M,288,294.0,6.0,6.0,False,False,True,True,3,1,296.0,unique_valid_peak,56
100,-10.0,2,P,288,294.0,6.0,6.0,False,False,True,True,2,1,304.0,unique_valid_peak,56
100,-10.0,2,Std,288,291.0,3.0,3.0,False,True,True,True,2,1,306.0,unique_valid_peak,56
100,-10.0,2,M+P,288,294.0,6.0,6.0,False,False,True,True,2,1,303.0,unique_valid_peak,56
100,-10.0,2,M+Std,288,292.0,4.0,4.0,False,True,True,True,2,1,306.0,unique_valid_peak,56
100,-10.0,2,P+Std,288,294.0,6.0,6.0,False,False,True,True,2,1,303.0,unique_valid_peak,56
100,-10.0,2,M+P+Std,288,294.0,6.0,6.0,False,False,True,True,2,1,305.0,unique_valid_peak,56
100,-10.0,3,M,288,294.0,6.0,6.0,False,False,True,True,3,1,296.0,unique_valid_peak,58
100,-10.0,3,P,288,294.0,6.0,6.0,False,False,True,True,2,1,296.0,unique_valid_peak,58
100,-10.0,3,Std,288,294.0,6.0,6.0,False,False,True,True,2,1,305.0,unique_valid_peak,58
100,-10.0,3,M+P,288,294.0,6.0,6.0,False,False,True,True,2,1,304.0,unique_valid_peak,58
100,-10.0,3,M+Std,288,294.0,6.0,6.0,False,False,True,True,2,1,304.0,unique_valid_peak,58
100,-10.0,3,P+Std,288,294.0,6.0,6.0,False,False,True,True,2,1,296.0,unique_valid_peak,58
100,-10.0,3,M+P+Std,288,294.0,6.0,6.0,False,False,True,True,2,1,304.0,unique_valid_peak,58
100,-10.0,4,M,288,295.0,7.0,7.0,False,False,True,True,3,1,303.0,unique_valid_peak,51
100,-10.0,4,P,288,294.0,6.0,6.0,False,False,True,True,2,1,303.0,unique_valid_peak,51
100,-10.0,4,Std,288,294.0,6.0,6.0,False,False,True,True,3,1,297.0,unique_valid_peak,51
100,-10.0,4,M+P,288,295.0,7.0,7.0,False,False,True,True,3,1,303.0,unique_valid_peak,51
100,-10.0,4,M+Std,288,294.0,6.0,6.0,False,False,True,True,3,1,303.0,unique_valid_peak,51
100,-10.0,4,P+Std,288,294.0,6.0,6.0,False,False,True,True,2,1,297.0,unique_valid_peak,51
100,-10.0,4,M+P+Std,288,294.0,6.0,6.0,False,False,True,True,3,1,302.0,unique_valid_peak,51
100,-10.0,5,M,288,295.0,7.0,7.0,False,False,True,True,3,1,302.0,unique_valid_peak,64
100,-10.0,5,P,288,295.0,7.0,7.0,False,False,True,True,2,1,302.0,unique_valid_peak,64
100,-10.0,5,Std,288,294.0,6.0,6.0,False,False,True,True,3,1,302.0,unique_valid_peak,64
100,-10.0,5,M+P,288,295.0,7.0,7.0,False,False,True,True,3,1,302.0,unique_valid_peak,64
100,-10.0,5,M+Std,288,294.0,6.0,6.0,False,False,True,True,3,1,302.0,unique_valid_peak,64
100,-10.0,5,P+Std,288,295.0,7.0,7.0,False,False,True,True,3,1,302.0,unique_valid_peak,64
100,-10.0,5,M+P+Std,288,295.0,7.0,7.0,False,False,True,True,3,1,302.0,unique_valid_peak,64
100,-10.0,6,M,288,295.0,7.0,7.0,False,False,True,True,5,1,298.0,unique_valid_peak,44
100,-10.0,6,P,288,294.0,6.0,6.0,False,False,True,True,3,1,302.0,unique_valid_peak,44
100,-10.0,6,Std,288,295.0,7.0,7.0,False,False,True,True,5,1,298.0,unique_valid_peak,44
100,-10.0,6,M+P,288,295.0,7.0,7.0,False,False,True,True,4,1,298.0,unique_valid_peak,44
100,-10.0,6,M+Std,288,295.0,7.0,7.0,False,False,True,True,5,1,298.0,unique_valid_peak,44
100,-10.0,6,P+Std,288,292.0,4.0,4.0,False,True,True,True,3,1,295.0,unique_valid_peak,44
100,-10.0,6,M+P+Std,288,295.0,7.0,7.0,False,False,True,True,4,1,298.0,unique_valid_peak,44
100,-10.0,7,M,288,,,,False,False,False,False,10,2,206.0,multiple_valid_peaks_at_cmax,40
100,-10.0,7,P,288,201.0,-87.0,87.0,False,False,False,True,8,1,207.0,unique_valid_peak,40
100,-10.0,7,Std,288,,,,False,False,False,False,10,2,201.0,multiple_valid_peaks_at_cmax,40
100,-10.0,7,M+P,288,,,,False,False,False,False,10,2,201.0,multiple_valid_peaks_at_cmax,40
100,-10.0,7,M+Std,288,,,,False,False,False,False,10,2,202.0,multiple_valid_peaks_at_cmax,40
100,-10.0,7,P+Std,288,,,,False,False,False,False,10,2,201.0,multiple_valid_peaks_at_cmax,40
100,-10.0,7,M+P+Std,288,,,,False,False,False,False,10,2,201.0,multiple_valid_peaks_at_cmax,40
100,-10.0,8,M,288,291.0,3.0,3.0,False,True,True,True,2,1,303.0,unique_valid_peak,64
100,-10.0,8,P,288,293.0,5.0,5.0,False,True,True,True,2,1,295.0,unique_valid_peak,64
100,-10.0,8,Std,288,289.0,1.0,1.0,True,True,True,True,2,1,303.0,unique_valid_peak,64
100,-10.0,8,M+P,288,291.0,3.0,3.0,False,True,True,True,2,1,295.0,unique_valid_peak,64
100,-10.0,8,M+Std,288,290.0,2.0,2.0,True,True,True,True,2,1,302.0,unique_valid_peak,64
100,-10.0,8,P+Std,288,291.0,3.0,3.0,False,True,True,True,2,1,302.0,unique_valid_peak,64
100,-10.0,8,M+P+Std,288,291.0,3.0,3.0,False,True,True,True,2,1,303.0,unique_valid_peak,64
100,-10.0,9,M,288,295.0,7.0,7.0,False,False,True,True,2,1,297.0,unique_valid_peak,61
100,-10.0,9,P,288,295.0,7.0,7.0,False,False,True,True,2,1,298.0,unique_valid_peak,61
100,-10.0,9,Std,288,294.0,6.0,6.0,False,False,True,True,2,1,296.0,unique_valid_peak,61
100,-10.0,9,M+P,288,295.0,7.0,7.0,False,False,True,True,2,1,298.0,unique_valid_peak,61
100,-10.0,9,M+Std,288,294.0,6.0,6.0,False,False,True,True,2,1,297.0,unique_valid_peak,61
100,-10.0,9,P+Std,288,295.0,7.0,7.0,False,False,True,True,2,1,297.0,unique_valid_peak,61
100,-10.0,9,M+P+Std,288,295.0,7.0,7.0,False,False,True,True,2,1,298.0,unique_valid_peak,61
100,-10.0,10,M,288,293.0,5.0,5.0,False,True,True,True,3,1,295.0,unique_valid_peak,56
100,-10.0,10,P,288,293.0,5.0,5.0,False,True,True,True,2,1,295.0,unique_valid_peak,56
100,-10.0,10,Std,288,291.0,3.0,3.0,False,True,True,True,3,1,295.0,unique_valid_peak,56
100,-10.0,10,M+P,288,292.0,4.0,4.0,False,True,True,True,2,1,295.0,unique_valid_peak,56
100,-10.0,10,M+Std,288,292.0,4.0,4.0,False,True,True,True,3,1,295.0,unique_valid_peak,56
100,-10.0,10,P+Std,288,291.0,3.0,3.0,False,True,True,True,2,1,295.0,unique_valid_peak,56
100,-10.0,10,M+P+Std,288,291.0,3.0,3.0,False,True,True,True,2,1,295.0,unique_valid_peak,56
100,-10.0,11,M,288,292.0,4.0,4.0,False,True,True,True,2,1,303.0,unique_valid_peak,45
100,-10.0,11,P,288,294.0,6.0,6.0,False,False,True,True,2,1,302.0,unique_valid_peak,45
100,-10.0,11,Std,288,291.0,3.0,3.0,False,True,True,True,2,1,295.0,unique_valid_peak,45
100,-10.0,11,M+P,288,292.0,4.0,4.0,False,True,True,True,2,1,304.0,unique_valid_peak,45
100,-10.0,11,M+Std,288,291.0,3.0,3.0,False,True,True,True,2,1,303.0,unique_valid_peak,45
100,-10.0,11,P+Std,288,291.0,3.0,3.0,False,True,True,True,2,1,304.0,unique_valid_peak,45
100,-10.0,11,M+P+Std,288,292.0,4.0,4.0,False,True,True,True,2,1,304.0,unique_valid_peak,45
100,-10.0,12,M,288,295.0,7.0,7.0,False,False,True,True,3,1,304.0,unique_valid_peak,58
100,-10.0,12,P,288,294.0,6.0,6.0,False,False,True,True,2,1,298.0,unique_valid_peak,58
100,-10.0,12,Std,288,294.0,6.0,6.0,False,False,True,True,3,1,298.0,unique_valid_peak,58
100,-10.0,12,M+P,288,294.0,6.0,6.0,False,False,True,True,2,1,297.0,unique_valid_peak,58
100,-10.0,12,M+Std,288,294.0,6.0,6.0,False,False,True,True,3,1,298.0,unique_valid_peak,58
100,-10.0,12,P+Std,288,295.0,7.0,7.0,False,False,True,True,3,1,298.0,unique_valid_peak,58
100,-10.0,12,M+P+Std,288,295.0,7.0,7.0,False,False,True,True,3,1,298.0,unique_valid_peak,58
100,-10.0,13,M,288,295.0,7.0,7.0,False,False,True,True,3,1,302.0,unique_valid_peak,77
100,-10.0,13,P,288,295.0,7.0,7.0,False,False,True,True,2,1,296.0,unique_valid_peak,77
100,-10.0,13,Std,288,295.0,7.0,7.0,False,False,True,True,3,1,302.0,unique_valid_peak,77
100,-10.0,13,M+P,288,295.0,7.0,7.0,False,False,True,True,2,1,296.0,unique_valid_peak,77
100,-10.0,13,M+Std,288,295.0,7.0,7.0,False,False,True,True,3,1,302.0,unique_valid_peak,77
100,-10.0,13,P+Std,288,294.0,6.0,6.0,False,False,True,True,2,1,302.0,unique_valid_peak,77
100,-10.0,13,M+P+Std,288,295.0,7.0,7.0,False,False,True,True,3,1,302.0,unique_valid_peak,77
100,-10.0,14,M,288,290.0,2.0,2.0,True,True,True,True,2,1,295.0,unique_valid_peak,60
100,-10.0,14,P,288,294.0,6.0,6.0,False,False,True,True,2,1,302.0,unique_valid_peak,60
100,-10.0,14,Std,288,291.0,3.0,3.0,False,True,True,True,2,1,303.0,unique_valid_peak,60
100,-10.0,14,M+P,288,291.0,3.0,3.0,False,True,True,True,2,1,302.0,unique_valid_peak,60
