variant,snr_db,reliable_rate_pct,le2_pct,le5_pct,le10_pct,mae_ms,median_ae_ms,rmse_ms,signed_error_ms
with_HOS,-10.0,94.0,57.9,75.7,88.9,5.550151624274181,2.4,17.872963964014694,-2.39333261577764
with_HOS,-8.0,98.0,66.9,82.6,95.4,3.6956980715912593,2.2,12.165522814282895,-0.6173325706170003
with_HOS,-6.0,98.9,73.0,87.9,98.0,2.5327123250718757,2.1,6.102376032020441,0.2641419462849083
with_HOS,-4.0,98.9,72.6,87.4,98.7,2.155392247078111,2.2,3.906107438396416,0.688607752921889
with_HOS,-2.0,99.9,75.7,86.6,99.9,2.0444723618090452,2.0,2.1664022178945954,0.9155276381909548
with_HOS,0.0,99.7,76.7,85.9,99.7,2.0248028526470736,2.0,2.1308103019353295,0.9971971473529262
with_HOS,2.0,100.0,78.3,87.0,100.0,2.0,2.0,2.08804194026916,1.028
with_HOS,4.0,100.0,78.3,86.2,100.0,2.0149999999999997,2.0,2.0905419150998594,1.051
with_HOS,6.0,100.0,79.3,86.4,100.0,2.0010000000000003,2.0,2.0587931851225334,1.063
without_HOS,-10.0,89.2,47.5,64.3,82.4,7.7431420147523795,2.4,20.3421581004883,-3.4539965905520633
without_HOS,-8.0,94.6,57.5,74.2,91.8,3.858220036404037,2.4,9.041652554850184,-0.02371360645273555
without_HOS,-6.0,96.9,68.3,79.8,95.8,2.7454969148498565,2.2,6.67679696496468,0.679528726175785
without_HOS,-4.0,98.0,72.8,80.8,97.8,2.292023070097604,2.2,3.9030414654615804,1.0079769299023957
without_HOS,-2.0,98.5,75.0,81.1,98.5,2.111559334845049,2.0,2.2077443592390855,1.1424406651549508
without_HOS,0.0,99.2,77.6,81.4,99.2,2.0633703009476205,2.0,2.1456437365054706,1.1506296990523794
without_HOS,2.0,99.5,78.9,81.9,99.5,2.028846153846154,2.0,2.095705237716029,1.1471538461538462
without_HOS,4.0,99.9,79.0,81.1,99.9,2.0382010050251256,2.0,2.0939370569077176,1.1457989949748746
without_HOS,6.0,100.0,79.5,81.7,100.0,2.019,2.0,2.054851488175705,1.151
