condition,frequency_hz,snr_db,n,reliable_count,reliable_rate_pct,le2_pct,le5_pct,le10_pct,mae_ms,median_ae_ms,rmse_ms,signed_error_ms
asymmetric,100,-10.0,200.0,192.0,96.0,76.5,90.5,93.0,3.484375,2.0,10.74345731131278,-0.08854166666666667
asymmetric,100,-8.0,200.0,200.0,100.0,93.0,97.0,97.5,2.805,2.0,7.552152011181978,0.215
asymmetric,100,-6.0,200.0,200.0,100.0,100.0,100.0,100.0,1.605,2.0,1.7190113437671084,1.425
asymmetric,100,-4.0,200.0,200.0,100.0,100.0,100.0,100.0,1.65,2.0,1.7492855684535902,1.65
asymmetric,100,-2.0,200.0,200.0,100.0,100.0,100.0,100.0,1.765,2.0,1.8152134860671347,1.765
asymmetric,100,0.0,200.0,200.0,100.0,100.0,100.0,100.0,1.78,2.0,1.8275666882497066,1.78
asymmetric,100,2.0,200.0,200.0,100.0,100.0,100.0,100.0,1.73,2.0,1.786057109949175,1.73
asymmetric,100,4.0,200.0,200.0,100.0,100.0,100.0,100.0,1.675,2.0,1.7392527130926085,1.675
asymmetric,100,6.0,200.0,200.0,100.0,100.0,100.0,100.0,1.54,2.0,1.6186414056238645,1.54
asymmetric,150,-10.0,200.0,197.0,98.5,90.5,93.0,93.0,2.6345177664974617,0.0,11.92553034928322,-2.269035532994924
asymmetric,150,-8.0,200.0,200.0,100.0,98.0,98.0,98.5,1.375,0.0,9.131538753134654,-1.235
asymmetric,150,-6.0,200.0,200.0,100.0,98.0,98.5,98.5,1.415,0.0,10.601179179695059,-1.415
asymmetric,150,-4.0,200.0,200.0,100.0,100.0,100.0,100.0,0.045,0.0,0.27386127875258304,-0.045
asymmetric,150,-2.0,200.0,200.0,100.0,100.0,100.0,100.0,0.01,0.0,0.1,-0.01
asymmetric,150,0.0,200.0,200.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
asymmetric,150,2.0,200.0,200.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
asymmetric,150,4.0,200.0,200.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
asymmetric,150,6.0,200.0,200.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
asymmetric,200,-10.0,200.0,186.0,93.0,77.5,87.0,87.0,7.661290322580645,2.0,28.02082558859868,-7.596774193548387
asymmetric,200,-8.0,200.0,200.0,100.0,91.5,95.5,96.0,4.12,2.0,11.966620241321273,-4.11
asymmetric,200,-6.0,200.0,199.0,99.5,95.5,98.5,98.5,2.512562814070352,2.0,5.31802661098794,-2.512562814070352
asymmetric,200,-4.0,200.0,200.0,100.0,97.5,99.5,99.5,2.22,2.0,3.5383612025908264,-2.22
asymmetric,200,-2.0,200.0,200.0,100.0,100.0,100.0,100.0,2.0,2.0,2.0,-2.0
asymmetric,200,0.0,200.0,200.0,100.0,100.0,100.0,100.0,2.0,2.0,2.0,-2.0
asymmetric,200,2.0,200.0,200.0,100.0,100.0,100.0,100.0,2.0,2.0,2.0,-2.0
asymmetric,200,4.0,200.0,200.0,100.0,100.0,100.0,100.0,2.0,2.0,2.0,-2.0
asymmetric,200,6.0,200.0,200.0,100.0,100.0,100.0,100.0,2.0,2.0,2.0,-2.0
asymmetric,250,-10.0,200.0,187.0,93.5,82.5,89.5,90.0,4.598930481283422,2.0,14.68820327705269,-4.588235294117647
asymmetric,250,-8.0,200.0,200.0,100.0,93.0,98.5,99.0,2.595,2.0,5.587933428379404,-2.595
asymmetric,250,-6.0,200.0,200.0,100.0,92.0,98.5,98.5,2.41,2.0,4.052159917870962,-2.41
asymmetric,250,-4.0,200.0,200.0,100.0,98.0,100.0,100.0,2.025,2.0,2.0334699407662753,-2.025
asymmetric,250,-2.0,200.0,200.0,100.0,99.5,100.0,100.0,2.005,2.0,2.006240264773888,-2.005
asymmetric,250,0.0,200.0,200.0,100.0,99.5,100.0,100.0,2.005,2.0,2.006240264773888,-2.005
asymmetric,250,2.0,200.0,200.0,100.0,100.0,100.0,100.0,2.0,2.0,2.0,-2.0
asymmetric,250,4.0,200.0,200.0,100.0,100.0,100.0,100.0,2.0,2.0,2.0,-2.0
asymmetric,250,6.0,200.0,200.0,100.0,100.0,100.0,100.0,2.0,2.0,2.0,-2.0
asymmetric,300,-10.0,200.0,183.0,91.5,6.0,82.5,84.0,6.9289617486338795,3.0,16.96186658457102,-5.85792349726776
asymmetric,300,-8.0,200.0,192.0,96.0,1.5,89.5,90.0,6.03125,3.0,14.708628420080506,-6.03125
asymmetric,300,-6.0,200.0,196.0,98.0,0.0,94.5,94.5,4.36734693877551,3.0,9.708506684388507,-4.36734693877551
asymmetric,300,-4.0,200.0,200.0,100.0,0.0,99.0,99.0,3.445,3.0,6.20120955943274,-3.445
asymmetric,300,-2.0,200.0,200.0,100.0,0.0,100.0,100.0,3.01,3.0,3.0116440692751194,-3.01
asymmetric,300,0.0,200.0,200.0,100.0,0.0,100.0,100.0,3.0,3.0,3.0,-3.0
asymmetric,300,2.0,200.0,200.0,100.0,0.0,100.0,100.0,3.0,3.0,3.0,-3.0
asymmetric,300,4.0,200.0,200.0,100.0,0.0,100.0,100.0,3.0,3.0,3.0,-3.0
asymmetric,300,6.0,200.0,200.0,100.0,0.0,100.0,100.0,3.0,3.0,3.0,-3.0
ricker,100,-10.0,200.0,198.0,99.0,11.0,36.0,97.0,6.075757575757576,6.0,9.571369343574153,3.9242424242424243
ricker,100,-8.0,200.0,200.0,100.0,7.5,48.5,98.5,5.495,6.0,8.825247871873062,3.925
ricker,100,-6.0,200.0,200.0,100.0,5.5,52.0,100.0,4.84,5.0,5.025932749251625,4.84
ricker,100,-4.0,200.0,200.0,100.0,2.0,44.5,100.0,5.145,6.0,5.272096357237793,5.145
ricker,100,-2.0,200.0,200.0,100.0,0.5,41.0,100.0,5.315,6.0,5.403239768879408,5.315
ricker,100,0.0,200.0,200.0,100.0,0.0,34.0,100.0,5.46,6.0,5.529014378711635,5.46
ricker,100,2.0,200.0,200.0,100.0,0.0,32.5,100.0,5.595,6.0,5.631607230622533,5.595
ricker,100,4.0,200.0,200.0,100.0,0.0,30.5,100.0,5.655,6.0,5.681989088338695,5.655
ricker,100,6.0,200.0,200.0,100.0,0.0,28.999999999999996,100.0,5.7,6.0,5.720139858430037,5.7
ricker,150,-10.0,200.0,198.0,99.0,48.5,96.0,96.0,3.590909090909091,3.0,9.659610800031272,0.7222222222222222
ricker,150,-8.0,200.0,200.0,100.0,66.0,99.5,99.5,2.33,2.0,4.975942121849892,1.67
ricker,150,-6.0,200.0,200.0,100.0,85.5,99.5,99.5,2.095,2.0,4.740780526453424,1.485
ricker,150,-4.0,200.0,200.0,100.0,97.0,100.0,100.0,1.8,2.0,1.8841443681416772,1.8
ricker,150,-2.0,200.0,200.0,100.0,99.5,100.0,100.0,1.86,2.0,1.9,1.86
ricker,150,0.0,200.0,200.0,100.0,100.0,100.0,100.0,1.915,2.0,1.9377822375076101,1.915
ricker,150,2.0,200.0,200.0,100.0,100.0,100.0,100.0,1.95,2.0,1.9621416870348585,1.95
ricker,150,4.0,200.0,200.0,100.0,100.0,100.0,100.0,1.985,2.0,1.9887181801351341,1.985
ricker,150,6.0,200.0,200.0,100.0,100.0,100.0,100.0,2.0,2.0,2.0,2.0
ricker,200,-10.0,200.0,192.0,96.0,86.5,90.5,90.5,4.015625,1.0,14.794952686642834,-2.6822916666666665
ricker,200,-8.0,200.0,199.0,99.5,96.5,97.0,97.5,1.64321608040201,1.0,5.789003611509528,-0.507537688442211
ricker,200,-6.0,200.0,198.0,99.0,98.0,98.0,98.0,1.101010101010101,1.0,3.963214693537395,-0.26262626262626265
ricker,200,-4.0,200.0,200.0,100.0,100.0,100.0,100.0,0.495,0.0,0.7035623639735145,-0.085
ricker,200,-2.0,200.0,200.0,100.0,100.0,100.0,100.0,0.385,0.0,0.6204836822995429,-0.065
ricker,200,0.0,200.0,200.0,100.0,100.0,100.0,100.0,0.24,0.0,0.4898979485566356,-0.09
ricker,200,2.0,200.0,200.0,100.0,100.0,100.0,100.0,0.16,0.0,0.4,-0.08
ricker,200,4.0,200.0,200.0,100.0,100.0,100.0,100.0,0.1,0.0,0.31622776601683794,-0.07
ricker,200,6.0,200.0,200.0,100.0,100.0,100.0,100.0,0.05,0.0,0.22360679774997896,-0.03
ricker,250,-10.0,200.0,187.0,93.5,75.0,87.0,88.0,6.106951871657754,1.0,25.284477705387243,-5.133689839572193
