snr_db,cluster_num,count,percentage
-10,2,83,8.7276551
-10,3,537,56.46687697
-10,4,215,22.60778128
-10,5,51,5.362776025
-10,6,29,3.049421661
-10,7,9,0.94637224
-10,8,9,0.94637224
-10,9,10,1.051524711
-10,10,8,0.841219769
-8,2,308,31.71987642
-8,3,568,58.49639547
-8,4,80,8.238928939
-8,5,11,1.132852729
-8,6,1,0.102986612
-8,7,1,0.102986612
-8,9,1,0.102986612
-8,10,1,0.102986612
-6,2,602,61.11675127
-6,3,369,37.46192893
-6,4,13,1.319796954
-6,5,1,0.101522843
-4,2,876,88.30645161
-4,3,115,11.59274194
-4,4,1,0.100806452
-2,2,969,97.58308157
-2,3,24,2.416918429
0,2,998,100
2,2,1000,100
4,2,1000,100
6,2,1000,100
