snr_db,method,le2_pct,le5_pct,le10_pct,reliable_rate_pct,mae_ms,median_ae_ms,rmse_ms,signed_error_ms
-10.0,AM-FCM,59.5,76.2,90.6,95.1,4.4811964753378914,2.4,12.4554711393957,-1.2640234008835498
-10.0,C=2,3.7,6.0,7.9,8.3,5.188939393939394,3.5,9.405169646972672,-3.183787878787879
-10.0,C=3,34.1,46.3,60.1,62.0,3.830923198139486,2.4,10.235653710381323,-0.5552862678706896
-10.0,C=6,53.3,72.1,91.2,92.2,3.092636482640912,2.6,6.069045225449904,1.3115107810332827
-8.0,AM-FCM,67.8,84.3,95.3,97.1,2.801810836208742,2.2,7.259642569133075,0.11541993302202722
-8.0,C=2,16.0,24.3,30.0,30.8,3.0966222653792643,2.0,6.409971713518688,-0.7777041845798844
-8.0,C=3,55.0,70.6,86.6,87.4,2.7316755964958555,2.4,6.214061091359755,0.7856169570020743
-8.0,C=6,59.0,78.1,98.3,98.3,2.580801215117961,2.6,2.614956506097091,1.8016107677336208
-6.0,AM-FCM,71.4,87.7,97.8,98.5,2.4571053540587218,2.2,6.34676996965473,0.42689464594127813
-6.0,C=2,36.7,50.2,59.6,60.2,2.9636045233042783,2.2,7.2595411820857665,-0.22214358659798972
-6.0,C=3,65.5,78.6,97.0,97.1,2.3570806454423474,2.4,3.2752642818453666,1.2897678394061374
-6.0,C=6,59.0,78.5,99.4,99.4,2.662316582914573,2.6,2.7024726626935003,1.8764993240313241
-4.0,AM-FCM,73.5,88.3,99.2,99.2,2.0157998177795133,2.2,2.1588603399714215,0.8402001822204868
-4.0,C=2,61.9,76.7,87.6,87.6,2.051686494387971,2.2,2.205718421019095,0.794858913061648
-4.0,C=3,68.9,80.6,99.2,99.2,2.261156130804234,2.2,2.3155965944430803,1.4063011556279272
-4.0,C=6,56.8,77.4,98.6,98.7,2.807881007901232,2.6,2.878085030192109,2.0544482026917774
-2.0,AM-FCM,76.1,87.5,99.3,99.3,1.9923812286335854,2.0,2.1096816377566503,0.9076187713664146
-2.0,C=2,73.7,85.1,96.9,96.9,1.9947284503061706,2.0,2.1125807129747787,0.9052715496938294
-2.0,C=3,71.7,79.6,99.1,99.1,2.229102564102564,2.2,2.262626150929826,1.418897435897436
-2.0,C=6,54.9,77.6,99.2,99.3,2.9199830380431098,2.6,3.0119490578295633,2.2387749162156987
0.0,AM-FCM,76.9,86.5,99.8,99.8,2.0250404040404044,2.0,2.128696657253803,0.986959595959596
0.0,C=2,76.9,86.5,99.8,99.8,2.0250404040404044,2.0,2.128696657253803,0.986959595959596
0.0,C=3,73.1,80.0,99.8,99.8,2.241010050251256,2.2,2.266863617194196,1.4369899497487437
0.0,C=6,51.7,77.5,99.5,99.5,3.1183890157860006,3.2,3.226029264204102,2.5500726866656516
2.0,AM-FCM,77.5,86.8,100.0,100.0,2.02,2.0,2.1120554860055956,1.0
2.0,C=2,77.5,86.8,100.0,100.0,2.02,2.0,2.1120554860055956,1.0
2.0,C=3,75.1,80.1,100.0,100.0,2.2399999999999998,2.2,2.258378194188551,1.44
2.0,C=6,45.5,75.4,98.5,98.5,3.251315271942212,3.6,3.3490889157265036,2.844114801881852
4.0,AM-FCM,78.2,86.3,100.0,100.0,2.0260000000000002,2.0,2.104027157344805,1.03
4.0,C=2,78.2,86.3,100.0,100.0,2.0260000000000002,2.0,2.104027157344805,1.03
4.0,C=3,75.3,80.0,100.0,100.0,2.2760000000000002,2.2,2.295123252600116,1.4760000000000002
4.0,C=6,41.8,73.7,97.5,97.5,3.461598466270336,3.6,3.5418706269560025,3.2557445880760327
6.0,AM-FCM,79.0,85.5,100.0,100.0,2.02,2.0,2.0802921082744166,1.068
6.0,C=2,79.0,85.5,100.0,100.0,2.02,2.0,2.0802921082744166,1.068
6.0,C=3,72.5,80.0,100.0,100.0,2.409,2.4,2.427600678351666,1.609
6.0,C=6,38.5,74.5,97.1,97.1,3.5367068123692165,3.6,3.614018218762203,3.3618405022087883
