dataset	method	frequency_hz	snr_db	seed	reference_arrival_sample	reference_arrival_ms	pick_sample	signed_error_samples	error_samples	signed_error_ms	error_ms	success	waveform	noise_type
synthetic	AIC	100	-10	130883009	213	213	396	183	183	183	183	TRUE	ricker	WGN
synthetic	AIC	100	-10	2848563235	213	213	416	203	203	203	203	TRUE	ricker	WGN
synthetic	AIC	100	-10	3136500927	213	213	5	-208	208	-208	208	TRUE	ricker	WGN
synthetic	AIC	100	-10	1826782195	213	213	229	16	16	16	16	TRUE	ricker	WGN
synthetic	AIC	100	-10	664763852	213	213	280	67	67	67	67	TRUE	ricker	WGN
synthetic	AIC	100	-10	2415822091	213	213	447	234	234	234	234	TRUE	ricker	WGN
synthetic	AIC	100	-10	1456147836	213	213	272	59	59	59	59	TRUE	ricker	WGN
synthetic	AIC	100	-10	3470723315	213	213	38	-175	175	-175	175	TRUE	ricker	WGN
synthetic	AIC	100	-10	615595807	213	213	109	-104	104	-104	104	TRUE	ricker	WGN
synthetic	AIC	100	-10	3126019678	213	213	241	28	28	28	28	TRUE	ricker	WGN
synthetic	AIC	100	-10	4003367977	213	213	447	234	234	234	234	TRUE	ricker	WGN
synthetic	AIC	100	-10	2366640082	213	213	128	-85	85	-85	85	TRUE	ricker	WGN
synthetic	AIC	100	-10	2038635433	213	213	430	217	217	217	217	TRUE	ricker	WGN
synthetic	AIC	100	-10	3249556868	213	213	233	20	20	20	20	TRUE	ricker	WGN
synthetic	AIC	100	-10	3295871950	213	213	230	17	17	17	17	TRUE	ricker	WGN
synthetic	AIC	100	-10	1297074382	213	213	203	-10	10	-10	10	TRUE	ricker	WGN
synthetic	AIC	100	-10	3215563385	213	213	16	-197	197	-197	197	TRUE	ricker	WGN
synthetic	AIC	100	-10	1307110349	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-10	610128799	213	213	27	-186	186	-186	186	TRUE	ricker	WGN
synthetic	AIC	100	-10	264955535	213	213	415	202	202	202	202	TRUE	ricker	WGN
synthetic	AIC	100	-10	1585617531	213	213	215	2	2	2	2	TRUE	ricker	WGN
