method,frequency_hz,snr_db,n,mean_ms,median_ms,std_ms,p95_ms,min_ms,max_ms,total_ms,total_s
AIC,100,-10.0,1000,0.1489001,0.10765,0.12291292290319439,0.37287499999999957,0.0704,1.0017,148.9001,0.1489001
AIC,100,-8.0,1000,0.1375806,0.1067,0.09916687618843789,0.28552999999999995,0.0663,1.2409,137.5806,0.1375806
AIC,100,-6.0,1000,0.13739500000000002,0.1083,0.10445587290518607,0.26146499999999995,0.0701,1.2562,137.395,0.13739500000000002
AIC,150,-10.0,1000,0.1363007,0.10565,0.1057910585899753,0.27858499999999975,0.07,1.7064,136.3007,0.1363007
AIC,150,-8.0,1000,0.1665619,0.12104999999999999,0.15375549352845957,0.41,0.0674,2.0245,166.5619,0.1665619
AIC,150,-6.0,1000,0.1442579,0.1109,0.11911147644711408,0.3049299999999998,0.0713,2.0145,144.2579,0.1442579
AIC,200,-10.0,1000,0.13403690000000001,0.10389999999999999,0.09709529950299127,0.26923499999999995,0.0708,1.0226,134.0369,0.13403690000000001
AIC,200,-8.0,1000,0.1358778,0.1039,0.09059198427440905,0.305515,0.0703,1.1214,135.87779999999998,0.1358778
AIC,200,-6.0,1000,0.1342998,0.10375000000000001,0.09412898504597712,0.2749,0.0699,1.4454,134.2998,0.1342998
AIC,250,-10.0,1000,0.1590132,0.1117,0.15553302011504216,0.3802349999999999,0.0712,2.2696,159.01319999999998,0.1590132
AIC,250,-8.0,1000,0.1429462,0.109,0.11076325656355797,0.3036099999999999,0.0671,1.2605,142.9462,0.1429462
AIC,250,-6.0,1000,0.1379258,0.1044,0.11009518265393634,0.2803799999999999,0.0669,1.2598,137.92579999999998,0.1379258
AIC,300,-10.0,1000,0.1355027,0.10345,0.09517152411153093,0.2668499999999999,0.0727,1.2558,135.5027,0.1355027
AIC,300,-8.0,1000,0.1503662,0.1093,0.14152032369797482,0.30904999999999977,0.0723,1.9834,150.3662,0.1503662
AIC,300,-6.0,1000,0.1425283,0.1074,0.11782849079213548,0.30347999999999986,0.0658,1.7018,142.5283,0.1425283
Chen-FCM,100,-10.0,1000,81.05350179999999,71.35385,32.99888879209495,148.68169500000002,29.2117,191.3863,81053.5018,81.05350179999999
Chen-FCM,100,-8.0,1000,72.3776679,61.822900000000004,36.15605843063786,149.974045,23.842,174.9683,72377.6679,72.3776679
Chen-FCM,100,-6.0,1000,45.872308,39.24855,23.33580587648305,90.49448,21.5211,186.9094,45872.308,45.872308
Chen-FCM,150,-10.0,1000,82.30385700000001,74.25365,32.32172324472598,153.85203499999997,31.8993,218.7842,82303.857,82.30385700000001
Chen-FCM,150,-8.0,1000,75.13586,64.3192,37.84957911347479,151.2244,21.7244,221.7789,75135.86,75.13586
Chen-FCM,150,-6.0,1000,40.2985645,33.15735,22.313233666994744,85.48590999999999,18.3834,206.8449,40298.5645,40.2985645
Chen-FCM,200,-10.0,1000,73.65474609999998,65.73945,30.023777206659393,137.02264499999998,21.6084,320.6106,73654.74609999999,73.65474609999998
Chen-FCM,200,-8.0,1000,69.9452703,62.21885,30.328345459826497,133.37398,22.2742,195.85,69945.2703,69.9452703
Chen-FCM,200,-6.0,1000,50.1078387,38.6076,29.44464642145626,127.74393499999996,18.7484,148.7411,50107.8387,50.1078387
Chen-FCM,250,-10.0,1000,65.2229812,58.68715,23.20773846737369,119.58842999999993,30.2139,146.9194,65222.98120000001,65.2229812
Chen-FCM,250,-8.0,1000,68.75748,60.948449999999994,27.782364131377093,130.54687,23.6526,147.0069,68757.48,68.75748
Chen-FCM,250,-6.0,1000,56.0248362,46.7367,29.632652371080024,126.645185,19.2479,145.9862,56024.836200000005,56.0248362
Chen-FCM,300,-10.0,1000,64.58841860000001,57.33695,24.205818848670432,121.33013,25.1725,150.8777,64588.418600000005,64.58841860000001
Chen-FCM,300,-8.0,1000,68.6283023,60.793,29.035872392922567,129.68238,25.7543,162.616,68628.3023,68.6283023
Chen-FCM,300,-6.0,1000,51.6820178,40.60925,28.854488040042853,123.65297499999998,16.6873,141.9121,51682.017799999994,51.6820178
STA/LTA,100,-10.0,1000,2.4068472,2.3785499999999997,0.8116405495746709,3.833825,0.1685,5.7901,2406.8472,2.4068472
STA/LTA,100,-8.0,1000,2.3403234000000004,2.2474,0.8490503492538048,3.827384999999999,0.441,7.5699,2340.3234,2.3403234000000004
STA/LTA,100,-6.0,1000,2.5432465000000004,2.4039,1.116119939391308,4.502005,0.2622,9.2574,2543.2465,2.5432465000000004
STA/LTA,150,-10.0,1000,2.4095119,2.2824,1.0224411374000157,4.10217,0.1955,12.1949,2409.5119,2.4095119
STA/LTA,150,-8.0,1000,2.3840702,2.31565,0.863687324908249,3.895565,0.3711,7.0589,2384.0702,2.3840702
STA/LTA,150,-6.0,1000,2.3845335999999997,2.3205,0.8313892438116852,3.8091149999999994,0.2087,6.9186,2384.5335999999998,2.3845335999999997
STA/LTA,200,-10.0,1000,2.4561815,2.3601,0.9719573915757772,4.051994999999999,0.4575,9.4102,2456.1815,2.4561815
STA/LTA,200,-8.0,1000,2.3878846000000005,2.3368,0.8768498685035738,3.865865,0.2691,7.6168,2387.8846000000003,2.3878846000000005
STA/LTA,200,-6.0,1000,2.4749765,2.39625,0.9334266943855536,4.225649999999999,0.3638,8.2797,2474.9764999999998,2.4749765
STA/LTA,250,-10.0,1000,2.472901,2.37275,0.901093341940717,4.112855,0.4677,6.1041,2472.901,2.472901
STA/LTA,250,-8.0,1000,2.4964903000000005,2.398,1.0592360607382465,4.295859999999999,0.4449,11.286,2496.4903000000004,2.4964903000000005
STA/LTA,250,-6.0,1000,2.5241401999999997,2.3916,1.1537466229176379,4.44647,0.1941,12.316,2524.1402,2.5241401999999997
STA/LTA,300,-10.0,1000,2.5738735000000004,2.44275,1.0522294714692126,4.400024999999999,0.2174,8.4284,2573.8735,2.5738735000000004
STA/LTA,300,-8.0,1000,2.4875129,2.35885,1.0324847694870918,4.385465,0.2291,7.6984,2487.5129,2.4875129
STA/LTA,300,-6.0,1000,2.4848011000000003,2.3894,0.9708432233131377,4.1880049999999995,0.1894,8.1804,2484.8011,2.4848011000000003
