method,frequency_hz,snr_db,metric,n,mean_ms,median_ms,std_ms,p95_ms,min_ms,max_ms,total_ms,total_s
AM-FCM,100,-10.0,picker_time_ms,200,17.2359015,9.3472,22.723825933684,45.23482999999999,3.0052,178.441,3447.1803,3.4471803
AM-FCM,100,-8.0,picker_time_ms,200,6.5951255,4.8207,5.495469797540347,18.580669999999998,3.3533,42.5774,1319.0251,1.3190251000000002
AM-FCM,100,-6.0,picker_time_ms,200,5.1536675,4.537649999999999,2.1297086437893107,7.695509999999999,3.1904,24.1082,1030.7335,1.0307335
AM-FCM,150,-10.0,picker_time_ms,200,26.335492000000002,17.61915,36.63343039516808,69.1187749999998,3.8451,268.2106,5267.098400000001,5.267098400000001
AM-FCM,150,-8.0,picker_time_ms,200,10.622703499999998,6.3709,11.263080032885037,31.735064999999977,3.1646,66.6582,2124.5406999999996,2.1245406999999994
AM-FCM,150,-6.0,picker_time_ms,200,5.104283,4.34715,2.970125560737074,8.633269999999996,3.0146,37.6153,1020.8566,1.0208566
AM-FCM,200,-10.0,picker_time_ms,200,84.96364750000001,43.68725,97.91072789479577,311.44119999999987,5.354,485.3148,16992.7295,16.992729500000003
AM-FCM,200,-8.0,picker_time_ms,200,26.951296499999998,18.767699999999998,30.82472332227512,65.304165,4.2652,256.1149,5390.2593,5.390259299999999
AM-FCM,200,-6.0,picker_time_ms,200,10.9536885,7.12,14.17723921285489,30.978019999999965,3.4494,167.8959,2190.7377,2.1907377
AM-FCM,250,-10.0,picker_time_ms,200,114.1105125,75.8296,87.52774112325699,255.15377499999997,5.0947,367.0716,22822.1025,22.8221025
AM-FCM,250,-8.0,picker_time_ms,200,54.1447855,27.36625,59.08533213640834,189.98342,4.6971,237.194,10828.9571,10.8289571
AM-FCM,250,-6.0,picker_time_ms,200,20.6602885,14.6219,26.599079022856007,56.9315499999998,3.5178,193.8516,4132.0577,4.132057700000001
AM-FCM,300,-10.0,picker_time_ms,200,126.776968,158.51895000000002,70.90840964798893,207.0559149999999,6.1408,254.3594,25355.3936,25.3553936
AM-FCM,300,-8.0,picker_time_ms,200,105.60669850000001,83.7611,72.88041888551678,207.28799999999998,6.5446,261.7667,21121.3397,21.1213397
AM-FCM,300,-6.0,picker_time_ms,200,73.70619549999999,42.28975,67.31782115040727,199.943435,3.6464,239.3402,14741.239099999999,14.7412391
